Date,Open,High,Low,Close,Volume
20090129,180.60,193.20,176.40,193.20,1050
20090130,191.52,213.78,191.10,212.02,107
20090202,220.50,260.40,210.00,226.80,1443
20090203,258.30,260.19,222.60,248.98,319
20090204,260.40,260.40,247.80,252.00,285
20090205,252.00,252.00,218.40,240.10,319
20090206,252.00,252.00,226.80,241.50,97
20090209,240.66,241.50,228.90,241.50,113
20090210,237.30,248.22,237.30,239.74,104
20090211,239.40,241.50,231.42,239.32,103
20090212,248.22,248.64,233.10,247.80,154
20090213,235.20,247.80,235.20,242.76,79
20090217,228.90,239.40,228.90,239.40,237
20090218,239.40,239.40,228.90,233.10,81
20090219,231.00,235.20,226.80,233.10,630
20090220,229.32,237.30,220.92,232.26,382
20090223,228.48,234.78,224.70,226.80,137
20090224,226.38,230.58,222.60,226.80,239
20090225,224.70,230.58,221.34,223.44,220
20090226,226.80,231.00,226.80,226.99,417
20090227,221.76,224.28,221.76,222.18,622
20090302,221.76,226.80,218.82,222.60,303
20090303,213.36,225.96,213.36,221.76,835
20090304,221.76,225.96,210.42,214.20,41
20090305,210.00,211.05,205.80,206.64,175
20090306,202.44,207.06,178.92,189.00,469
20090309,178.92,182.70,160.02,173.88,702
20090310,175.49,175.49,165.06,173.04,87
20090311,173.04,174.72,159.60,169.68,120
20090312,168.00,168.00,164.64,166.92,237
20090313,169.26,172.84,163.80,167.58,486
20090316,163.80,168.00,163.80,163.80,182
20090317,163.80,174.30,163.80,168.00,309
20090318,168.00,168.63,164.22,168.00,164
20090319,160.02,170.10,160.02,168.00,238
20090320,168.00,171.36,160.86,170.94,359
20090323,188.16,188.16,169.68,170.10,22
20090324,170.52,170.52,168.84,170.10,439
20090325,165.90,179.64,165.48,172.62,188
20090326,168.42,172.94,166.32,172.20,1875
20090327,172.20,180.18,172.20,178.08,60
20090330,188.58,226.38,182.49,202.02,1006
20090331,220.08,220.08,204.96,210.84,199
20090401,210.42,213.78,210.00,211.68,487
20090402,212.10,228.48,210.42,227.64,1430
20090403,233.52,241.50,231.00,237.72,529
20090406,234.78,247.17,234.78,246.54,176
20090407,237.72,250.74,236.88,236.88,189
20090408,241.50,245.28,241.50,245.28,164
20090409,244.44,251.58,232.43,245.28,340
20090413,243.60,243.60,231.00,237.30,104
20090414,231.00,251.16,231.00,241.50,558
20090415,241.92,241.92,233.52,238.78,153
20090416,241.92,241.92,227.22,227.22,259
20090417,231.00,235.20,231.00,234.36,323
20090420,238.14,238.14,221.76,231.00,186
20090421,233.94,252.00,223.44,252.00,330
20090422,252.00,270.90,239.82,264.18,569
20090423,262.92,314.26,262.08,308.28,641
20090424,307.86,391.44,294.00,388.08,2197
20090427,411.60,435.54,401.52,420.00,1479
20090428,427.98,430.50,386.40,400.68,2044
20090429,399.00,405.68,351.12,405.30,1827
20090430,420.00,420.00,399.42,403.20,684
20090501,406.98,414.96,399.84,413.70,395
20090504,419.58,429.63,399.00,410.80,817
20090505,409.50,425.88,399.00,420.00,340
20090506,421.26,426.30,416.22,423.78,484
20090507,427.14,434.70,420.00,434.70,457
20090508,427.56,432.60,417.90,419.16,709
20090511,420.84,487.62,420.84,487.62,1134
20090512,504.00,532.14,493.92,498.54,1931
20090513,523.74,532.14,500.22,531.72,872
20090514,532.14,535.50,514.32,535.50,967
20090515,545.16,564.90,540.54,564.90,880
20090518,563.64,564.48,422.10,534.66,3181
20090519,535.92,554.40,525.42,528.91,1013
20090520,527.10,531.30,470.40,482.58,1808
20090521,470.40,483.00,357.00,378.00,4427
20090522,346.92,364.14,341.46,362.46,1909
20090526,362.46,404.04,357.00,374.22,3569
20090527,375.90,403.20,375.90,392.70,2441
20090528,411.18,411.18,369.18,391.44,2934
20090529,391.02,391.02,367.50,390.18,2753
20090601,175.56,245.70,164.22,215.46,36526
20090602,221.76,222.18,199.50,202.44,10863
20090603,200.76,201.18,180.18,183.96,6335
20090604,184.80,189.00,177.24,186.48,3330
20090605,188.16,201.60,186.90,191.94,3168
20090608,199.50,199.50,170.94,170.94,7992
20090609,173.88,177.26,163.80,166.32,5540
20090610,173.88,174.72,162.96,163.80,4230
20090611,172.20,172.20,157.92,161.28,3883
20090612,160.02,168.00,160.02,163.80,2668
20090615,168.00,168.00,160.44,161.70,2066
20090616,159.18,162.12,150.36,150.78,5506
20090617,150.36,152.46,137.34,137.34,2694
20090618,140.70,156.80,128.52,128.52,3608
20090619,128.10,128.94,118.02,123.48,5793
20090622,119.28,120.96,111.30,111.30,1530
20090623,111.72,118.44,105.84,108.36,1816
20090624,106.26,128.10,105.00,120.54,5079
20090625,126.00,126.00,119.70,121.80,2534
20090626,125.58,128.52,122.22,122.64,1828
20090629,136.08,136.08,126.00,127.26,1901
20090630,133.98,134.40,123.06,134.40,1982
20090701,136.50,136.50,128.10,131.88,1073
20090702,126.84,129.36,123.90,123.90,1220
20090706,121.80,127.26,112.14,114.24,1081
20090707,119.70,121.80,115.50,117.60,564
20090708,117.60,119.70,105.00,105.00,1835
20090709,111.30,111.30,105.13,110.04,987
20090710,111.30,113.15,99.96,102.48,1648
20090713,100.80,103.81,97.86,98.28,1374
20090714,96.60,101.22,92.40,95.76,2060
20090715,100.38,110.88,99.12,107.52,3527
20090716,110.04,204.96,110.04,160.86,37640
20090717,172.20,194.46,159.18,173.46,20241
20090720,196.14,196.14,178.92,184.80,11854
20090721,191.10,191.10,143.22,154.56,22773
20090722,152.88,156.24,139.02,146.58,7904
20090723,154.98,158.76,147.42,147.42,5745
20090724,152.88,152.88,148.26,151.62,1760
20090727,152.04,162.54,150.36,161.70,4894
20090728,161.70,180.60,160.44,172.20,6808
20090729,171.78,171.78,162.96,168.00,3310
20090730,167.16,175.96,159.60,162.12,4683
20090731,163.80,166.74,158.34,163.80,1907
20090803,158.76,168.00,158.34,163.80,4004
20090804,159.60,168.00,159.60,166.32,2764
20090805,168.00,168.84,163.80,165.48,1736
20090806,170.10,170.10,158.34,159.60,2078
20090807,158.34,166.74,158.34,160.44,2061
20090810,160.44,167.16,160.44,165.48,1724
20090811,165.90,165.90,151.62,158.76,3604
20090812,157.50,158.34,136.50,151.20,5239
20090813,145.74,155.40,145.74,152.04,1265
20090814,153.30,153.30,142.80,151.20,1810
20090817,134.82,138.18,127.26,133.56,2972
20090818,132.30,139.44,132.30,138.60,2424
20090819,139.02,140.70,131.04,137.76,3538
20090820,137.76,141.96,137.76,139.44,864
