Date,Open,High,Low,Close,Volume
20160516,30.99,31.25,28.01,28.12,525402
20160517,28.00,28.88,28.00,28.45,426467
20160518,28.78,29.43,27.56,28.00,251224
20160519,27.05,28.86,27.05,28.38,288795
20160520,28.67,30.10,28.41,29.38,292291
20160523,29.86,33.28,29.47,32.70,1232162
20160524,32.73,35.83,31.67,35.35,890183
20160525,35.60,37.77,34.82,37.34,1346388
20160526,36.97,38.43,36.30,36.96,885804
20160527,36.99,38.09,36.06,38.00,280331
20160531,38.12,39.43,37.59,39.28,360303
20160601,39.17,43.10,38.71,39.57,992329
20160602,39.40,40.46,37.37,37.54,863954
20160603,37.35,37.79,35.11,35.24,518740
20160606,35.37,36.85,35.33,35.90,425402
20160607,36.84,41.20,36.60,38.52,896923
20160608,39.49,39.62,37.54,37.60,294361
20160609,37.60,38.30,35.68,37.75,296318
20160610,37.50,39.35,37.01,38.26,291584
20160613,37.20,39.28,35.71,36.26,447874
20160614,36.03,38.65,36.03,38.55,399258
20160615,39.00,42.61,38.55,41.85,914495
20160616,42.38,45.75,40.00,44.32,967160
20160617,45.46,45.75,43.16,43.89,646718
20160620,44.95,45.75,40.59,41.19,901448
20160621,41.16,41.74,38.65,38.90,1022185
20160622,38.49,40.86,38.13,39.68,681107
20160623,40.68,40.78,37.53,39.05,458232
20160624,37.08,39.77,37.03,37.26,1059132
20160627,37.03,37.50,32.92,34.45,1058728
20160628,35.45,38.81,35.05,38.19,1001369
20160629,39.19,39.25,37.14,37.86,397436
20160630,37.59,40.00,36.86,39.94,537742
20160701,40.00,42.34,39.29,41.08,582529
20160705,42.24,42.24,40.04,41.36,344567
20160706,40.76,43.00,40.10,42.89,401504
20160707,43.22,47.07,43.20,44.19,1312984
20160708,45.75,46.94,43.58,43.95,883600
20160711,46.07,49.39,45.38,48.87,1922990
20160712,49.32,51.87,48.31,51.36,1329487
20160713,51.50,51.50,47.00,49.62,1480262
20160714,51.13,52.63,50.27,52.43,1143412
20160715,53.40,54.90,52.99,54.78,806461
20160718,54.50,58.40,53.24,57.09,1228068
20160719,57.22,60.90,55.88,58.73,2247351
20160720,58.73,63.12,57.06,62.40,1566607
20160721,62.53,63.88,56.88,57.85,1832785
20160722,58.36,61.14,57.56,59.16,802855
20160725,60.91,64.00,59.11,63.38,1044990
20160726,64.89,65.50,59.52,59.65,904243
20160727,62.38,64.91,60.03,64.90,1080855
20160728,63.20,64.63,62.25,63.46,603334
20160729,64.25,66.00,63.40,65.03,600048
20160801,65.84,66.43,63.55,63.97,529003
20160802,65.00,65.38,59.79,60.79,733801
20160803,60.58,62.19,58.88,61.00,506691
20160804,61.76,64.68,60.75,64.49,519393
20160805,65.24,65.24,63.00,64.00,417918
20160808,64.84,65.87,63.55,64.41,321196
20160809,65.50,68.10,64.51,67.03,544844
20160810,68.39,70.43,67.55,69.20,1114437
20160811,71.63,73.50,67.51,67.70,1855541
20160812,83.50,98.75,83.00,95.67,5134847
20160815,103.23,109.36,99.33,102.33,3890522
20160816,99.68,106.54,97.02,102.17,2239856
20160817,101.16,115.48,101.10,115.29,2582766
20160818,118.00,124.90,114.05,117.86,3429600
20160819,115.00,119.39,111.31,114.78,1400297
20160822,113.78,119.19,113.35,117.59,1343334
20160823,120.00,120.00,110.50,110.89,1663809
20160824,107.69,110.31,101.45,101.95,2609218
20160825,100.59,105.73,100.28,101.15,1114318
20160826,101.66,109.47,100.31,107.86,2585523
20160829,107.41,115.48,107.25,113.50,2854128
20160830,114.50,116.85,112.39,114.57,1751806
20160831,114.89,115.51,110.50,111.65,1079165
20160901,113.83,114.00,110.83,112.10,683804
20160902,112.64,117.53,112.00,113.14,1203030
20160906,115.20,127.20,114.66,123.44,3502132
20160907,125.00,128.73,118.01,120.20,2044938
20160908,119.00,121.26,116.00,117.89,1077572
20160909,117.89,121.94,103.20,106.41,3802875
20160912,103.26,112.50,103.01,112.49,2240038
20160913,110.00,110.00,104.04,106.30,2075013
20160914,108.50,110.91,104.50,105.06,1445605
20160915,106.01,107.80,104.25,105.96,1317712
