Date,Open,High,Low,Close,Volume
20010827,15.10,15.74,14.75,15.30,4523800
20010828,15.50,15.60,14.70,14.86,6189800
20010829,15.23,15.24,14.01,14.20,6308300
20010830,14.00,14.01,13.00,13.29,7921300
20010831,13.19,13.58,13.00,13.55,3466300
20010904,13.17,13.40,12.85,12.95,5625500
20010905,12.75,13.10,11.70,12.05,8852000
20010906,12.06,12.25,11.25,11.40,8670200
20010907,11.60,12.00,11.10,11.50,6773700
20010910,11.50,12.01,11.45,11.85,5157600
20010917,10.25,11.20,10.05,10.14,8476900
20010918,10.24,10.40,9.50,9.50,5632300
20010919,9.85,9.85,8.40,9.11,8097400
20010920,9.05,9.30,8.50,8.99,6829000
20010921,8.31,9.30,8.30,9.30,10431900
20010924,9.75,10.03,9.35,9.81,8708200
20010925,9.71,10.35,8.75,9.05,12251000
20010926,9.05,9.05,8.20,8.35,8246000
20010927,8.26,8.45,7.80,8.00,5816600
20010928,8.43,8.45,7.96,8.15,7471400
20011001,8.30,8.30,7.72,7.93,4960200
20011002,7.93,8.09,7.76,8.00,4055200
20011003,7.79,8.75,7.69,8.46,6809300
20011004,8.85,9.48,8.75,9.00,7918500
20011005,8.55,8.90,8.04,8.60,8016500
20011008,8.33,8.98,8.25,8.78,3706200
20011009,9.12,9.20,8.80,8.86,5131100
20011010,8.99,9.60,8.75,9.59,5289200
20011011,9.88,10.85,9.86,10.50,9127700
20011012,10.50,10.60,9.80,10.40,5846700
20011015,10.30,10.45,9.90,10.23,3998500
20011016,10.23,10.75,10.15,10.61,4900600
20011017,11.38,11.39,9.61,9.71,9103600
20011018,9.98,10.00,9.40,9.50,5462500
20011019,9.75,9.75,9.05,9.19,4166200
20011022,9.22,9.75,9.09,9.58,3036700
20011023,9.75,10.15,9.60,9.66,4193000
20011024,9.80,10.22,9.70,9.95,3524200
20011025,9.68,10.30,9.38,10.26,3766600
20011026,10.26,10.49,9.95,10.34,3955800
20011029,10.03,10.29,9.56,9.56,4128700
20011030,9.50,9.75,9.20,9.43,3325300
20011031,9.53,10.09,9.51,9.84,4226400
20011101,10.00,11.50,9.95,11.50,9632400
20011102,11.47,12.45,11.00,12.25,12440700
20011105,12.46,13.20,12.46,13.04,10459900
20011106,13.10,13.25,12.68,13.00,8027900
20011107,12.80,14.50,12.77,13.52,9428700
