Date,Open,High,Low,Close,Volume
20110404,9.90,10.05,9.86,9.95,163500
20110405,10.00,10.00,9.90,9.91,17685
20110406,9.91,10.00,9.90,10.00,37683
20110407,9.75,10.00,9.75,10.00,80902
20110408,10.00,10.00,9.91,9.91,9350
20110411,10.00,10.00,9.97,10.00,10090
20110412,10.00,10.00,9.92,9.93,8261
20110413,10.00,10.00,9.93,9.98,9340
20110414,9.98,9.98,9.90,9.92,5273
20110415,9.95,10.00,9.82,9.82,33503
20110418,9.77,9.87,9.77,9.83,8291
20110419,9.93,9.98,9.82,9.85,7531
20110420,9.80,9.82,9.80,9.80,3500
20110421,9.82,9.85,9.75,9.76,7615
20110425,9.76,9.86,9.76,9.86,1200
20110426,9.96,9.96,9.82,9.85,6251
20110427,9.75,9.86,9.55,9.80,13100
20110428,9.90,9.90,9.80,9.80,4200
20110429,9.70,9.80,9.68,9.68,5967
20110502,9.95,9.95,9.65,9.65,16825
20110503,9.65,9.65,9.41,9.51,10600
20110504,9.44,9.54,9.38,9.54,5400
20110505,9.48,9.50,9.16,9.45,14600
20110506,9.35,9.35,9.16,9.16,13800
20110509,9.26,9.32,9.17,9.22,7948
20110510,9.26,9.33,9.21,9.21,6674
20110511,9.25,9.33,9.03,9.09,23635
20110512,9.11,9.25,9.11,9.16,11706
20110513,10.39,10.39,9.14,9.14,21753
20110516,9.19,9.48,9.17,9.18,11811
20110517,9.38,9.39,9.17,9.23,12480
20110518,9.30,9.44,9.25,9.40,5000
20110519,9.45,9.55,9.20,9.37,7551
20110520,9.37,9.38,9.28,9.32,1293
20110523,9.29,9.32,9.20,9.27,5700
20110524,9.35,9.47,9.12,9.30,15025
20110525,9.20,9.22,9.08,9.19,29250
20110526,9.19,9.19,8.94,9.05,13400
20110527,9.09,9.30,9.09,9.24,6600
20110531,9.14,9.39,9.10,9.29,8827
20110601,9.15,9.15,8.85,9.10,33200
20110602,9.10,9.10,8.89,8.95,18500
20110603,8.86,9.02,8.76,8.80,8689
20110606,8.86,8.92,8.67,8.67,17000
20110607,8.73,8.73,8.37,8.37,20200
20110608,8.17,8.57,8.17,8.57,23550
20110609,8.60,8.97,8.60,8.96,14000
20110610,8.87,8.96,8.71,8.77,5484
20110613,8.86,8.94,8.50,8.67,11300
20110614,8.76,8.80,8.54,8.62,6900
20110615,8.56,8.68,8.55,8.61,800
20110616,8.67,8.77,8.57,8.74,3596
20110617,8.87,8.99,8.61,8.61,7600
20110620,8.60,8.80,8.60,8.69,2633
20110621,8.69,8.69,8.50,8.56,10162
20110622,8.64,8.64,8.60,8.60,300
20110623,8.60,8.60,8.50,8.60,3775
20110624,8.60,8.79,8.60,8.72,15497
20110627,8.80,9.01,8.70,9.00,13621
20110628,8.95,9.07,8.95,9.07,9642
20110629,9.10,9.21,9.00,9.06,14168
20110630,9.21,9.21,8.80,9.09,28470
20110701,9.01,9.01,9.01,9.01,195
20110705,8.91,9.01,8.78,8.82,800
20110706,8.74,8.86,8.66,8.66,2925
20110707,8.66,8.85,8.66,8.85,2970
20110708,8.01,8.01,8.01,8.01,0
20110711,8.72,8.72,8.70,8.70,5500
20110712,8.62,8.63,8.50,8.56,9422
20110713,8.56,8.62,8.50,8.50,2850
20110714,8.50,8.60,8.50,8.60,5824
20110715,8.75,8.75,8.50,8.50,6100
20110718,8.50,8.51,8.44,8.44,3779
20110719,8.34,8.43,8.31,8.31,2100
20110720,8.41,8.45,8.30,8.35,1892
20110721,8.40,8.40,8.30,8.34,8648
20110722,8.30,8.35,8.07,8.34,5531
20110725,8.25,8.34,8.14,8.15,13000
20110726,8.15,8.28,8.10,8.16,9654
20110727,8.12,8.20,7.94,8.07,9646
20110728,7.92,8.00,7.78,7.95,3300
20110729,7.90,8.08,7.87,8.08,2304
20110801,8.17,8.27,7.75,8.01,4864
20110802,8.10,8.10,7.79,7.79,2405
20110803,7.88,8.14,7.88,8.06,3500
20110804,7.99,7.99,6.91,7.02,30335
20110805,7.12,7.12,6.72,7.00,30200
20110808,6.82,7.02,6.35,6.65,27899
20110809,6.60,6.65,6.21,6.35,25036
20110810,6.35,6.40,6.00,6.35,18360
20110811,6.35,6.45,6.26,6.44,6706
20110812,6.15,6.66,6.15,6.63,9027
20110815,6.63,7.02,6.63,6.98,2400
20110816,6.85,6.95,6.85,6.90,4650
20110817,7.04,7.46,7.04,7.25,2900
20110818,7.19,7.29,6.99,7.00,14048
20110819,7.13,7.34,6.90,6.90,4125
20110822,7.00,7.00,6.80,6.80,600
20110823,6.80,7.00,6.80,6.94,2950
20110824,6.95,7.11,6.95,7.11,4400
20110825,7.10,7.10,6.89,6.89,5900
20110826,6.83,6.83,6.63,6.83,4868
20110829,6.93,6.93,6.85,6.89,7676
20110830,6.92,6.97,6.63,6.87,9803
20110831,6.95,7.05,6.95,7.05,9300
20110901,7.00,7.00,6.50,6.78,16300
