Date,Open,High,Low,Close,Volume
20150522,10.80,11.22,10.50,11.08,2806632
20150526,11.40,13.70,11.20,12.78,4898883
20150527,13.58,14.77,12.05,12.24,4104295
20150528,11.84,12.39,11.40,11.88,1768037
20150529,12.06,12.45,11.88,12.22,831027
20150601,12.39,13.09,11.37,11.49,1686591
20150602,11.82,11.89,11.12,11.34,818535
20150603,11.17,11.39,10.88,10.91,1128188
20150604,10.65,11.34,10.61,10.76,1058525
20150605,10.78,11.20,10.71,10.96,791131
20150608,11.24,12.09,11.05,11.85,1393539
20150609,11.85,11.87,11.25,11.37,477390
20150610,11.31,11.74,11.31,11.59,385941
20150611,11.65,11.99,11.60,11.85,623358
20150612,11.70,12.70,11.51,12.48,1344603
20150615,12.20,12.47,11.70,11.84,1092103
20150616,11.66,12.00,11.40,11.93,562254
20150617,11.97,12.35,11.78,11.89,790609
20150618,12.40,12.50,11.86,12.09,1440029
20150619,11.99,12.05,11.65,11.77,601453
20150622,11.82,11.84,11.50,11.62,568948
20150623,11.56,11.82,11.40,11.75,567508
20150624,11.75,12.05,11.53,11.71,1070673
20150625,11.69,11.69,11.31,11.44,473879
20150626,11.20,11.39,10.32,11.06,906659
20150629,10.52,10.80,9.95,10.12,1113019
20150630,10.48,10.80,10.40,10.77,464041
20150701,10.60,10.60,10.30,10.31,393396
20150702,10.27,10.50,10.05,10.23,374435
20150706,9.99,10.00,9.54,9.55,553938
20150707,9.37,9.55,7.05,7.42,3467775
20150708,6.66,7.56,6.65,7.16,1172019
20150709,8.10,8.45,8.01,8.13,1116026
20150710,8.84,8.94,8.15,8.33,693022
20150713,8.35,8.59,8.15,8.15,453943
20150714,8.10,8.16,7.80,8.09,397202
20150715,7.99,8.04,7.67,7.67,409767
20150716,7.70,7.85,7.46,7.47,397568
20150717,7.55,7.74,7.53,7.67,318348
20150720,7.67,7.72,7.30,7.36,480584
20150721,7.51,7.79,7.40,7.75,224941
20150722,7.90,9.00,7.90,8.97,1262615
20150723,9.00,9.44,8.65,8.68,587498
20150724,8.72,8.81,7.92,8.13,759163
20150727,7.60,8.82,7.47,8.79,889666
20150728,8.78,8.78,8.26,8.37,626125
20150729,8.42,8.70,8.26,8.53,393752
20150730,8.48,8.48,8.19,8.35,326339
20150731,8.41,8.51,8.31,8.31,213049
20150803,8.26,8.62,8.17,8.38,273743
20150804,8.35,8.52,8.30,8.40,139040
20150805,8.31,8.65,8.31,8.41,231774
20150806,8.50,8.50,8.13,8.19,144945
20150807,8.27,8.50,8.21,8.28,156691
20150810,8.38,8.64,8.28,8.55,243286
20150811,8.50,8.60,8.20,8.24,645551
20150812,7.65,8.10,7.48,8.09,357242
20150813,8.04,8.07,7.61,7.70,253789
20150814,7.74,8.00,7.57,7.73,176196
20150817,7.69,7.83,7.67,7.74,64329
20150818,7.70,7.92,7.57,7.87,267388
20150819,8.49,8.49,6.88,6.90,1680562
20150820,6.88,6.88,6.01,6.02,919926
20150821,5.96,5.96,5.54,5.65,636503
20150824,4.00,5.19,4.00,4.69,1028262
20150825,5.10,5.18,4.51,4.66,942646
20150826,4.70,4.80,4.40,4.69,369184
20150827,4.79,5.18,4.79,5.18,599280
20150828,5.11,5.56,5.06,5.28,441784
20150831,5.21,5.30,5.06,5.12,203811
20150901,4.95,5.13,4.80,4.89,202312
20150902,4.94,4.99,4.84,4.94,104054
20150903,4.99,5.61,4.90,5.28,613297
20150904,5.18,5.37,5.02,5.15,245342
20150908,5.30,5.38,5.30,5.34,143663
20150909,5.46,5.49,5.03,5.10,252423
20150910,5.10,5.22,5.00,5.11,76870
20150911,5.05,5.12,5.03,5.09,86948
20150914,5.08,5.21,4.95,4.99,54784
20150915,4.99,5.10,4.97,5.08,293220
20150916,5.13,5.30,5.08,5.29,171955
20150917,5.34,5.45,5.20,5.35,145356
20150918,5.26,5.45,5.26,5.43,110011
20150921,5.46,5.46,5.10,5.15,110478
20150922,5.05,5.39,5.00,5.19,129320
20150923,5.20,5.24,4.92,4.96,128019
20150924,4.90,5.11,4.85,5.11,121283
20150925,5.16,5.17,4.92,5.03,103035
20150928,4.96,5.16,4.75,4.80,183334
20150929,4.80,4.90,4.70,4.80,104348
20150930,4.85,5.12,4.72,4.82,122150
20151001,4.76,4.92,4.55,4.64,118834
20151002,4.58,5.29,4.50,5.25,626811
20151005,5.31,5.36,5.15,5.22,202212
20151006,5.25,5.34,5.16,5.29,84893
20151007,5.35,5.88,5.27,5.82,459834
20151008,5.86,5.86,5.42,5.72,264647
20151009,5.78,5.78,5.32,5.49,166235
20151012,5.58,5.66,5.32,5.51,98002
20151013,5.52,5.78,5.32,5.66,136788
20151014,5.68,5.68,5.32,5.42,128212
20151015,5.49,5.95,5.36,5.80,281120
20151016,5.84,6.04,5.67,5.94,221731
20151019,5.93,5.94,5.71,5.82,170286
20151020,5.87,6.37,5.87,6.10,189521
20151021,6.06,6.22,5.85,5.94,174977
20151022,5.96,6.74,5.96,6.13,250319
20151023,6.20,6.66,6.14,6.53,351225
20151026,6.60,7.94,6.60,7.54,1261525
20151027,8.00,8.09,7.10,7.33,627141
20151028,7.31,7.90,7.20,7.82,585495
20151029,7.80,8.44,7.60,8.30,691629
