Date,Open,High,Low,Close,Volume
20170519,24.01,24.70,23.75,24.60,1295135
20170522,24.45,25.68,24.40,25.00,437533
20170523,25.11,26.09,25.00,25.80,368725
20170524,25.85,27.26,25.75,27.05,541750
20170525,27.05,28.16,27.05,27.30,2039948
20170526,27.72,27.85,26.36,26.62,1841034
20170530,26.40,26.91,25.52,25.90,1408479
20170531,25.95,26.22,25.30,25.59,1850429
20170602,26.81,27.86,26.69,27.05,5202984
20170605,27.00,27.99,26.84,27.89,2241586
20170606,27.89,29.47,27.52,29.14,3271407
20170607,29.14,29.32,27.08,27.15,4820315
20170608,26.87,27.20,25.35,25.81,6762409
20170609,25.74,26.20,25.37,25.81,3119084
20170612,25.58,26.45,25.44,25.94,2198644
20170613,25.75,26.22,25.53,25.87,1954455
20170614,25.80,26.02,25.51,25.59,1361251
20170615,25.44,25.61,25.18,25.34,1328350
20170616,25.34,26.20,25.29,26.16,2498267
20170619,26.37,27.29,26.33,27.00,2568020
20170620,26.75,27.24,26.74,26.90,1221351
20170621,26.84,27.19,26.79,27.05,1481013
20170622,27.20,27.70,27.12,27.58,1386735
20170623,27.68,28.31,27.68,28.20,8111121
20170626,28.22,28.35,27.96,28.21,1228563
20170627,28.20,28.24,27.27,27.55,1843951
20170628,27.64,27.85,27.47,27.56,1445507
20170629,27.60,27.60,26.71,26.87,958840
20170630,26.86,26.92,26.45,26.63,1143196
20170703,26.63,27.17,26.55,27.08,336938
20170705,26.96,27.21,26.86,27.04,1046882
20170706,26.82,26.82,26.28,26.38,699474
20170707,26.50,26.50,25.78,25.83,1514476
20170710,25.62,26.12,25.50,25.95,1081706
20170711,26.01,26.03,25.16,25.25,1172256
20170712,25.44,25.88,24.84,25.41,1671400
20170713,25.32,25.38,24.98,25.05,2320315
20170714,25.10,25.35,24.01,24.13,2079331
20170717,24.16,24.77,24.00,24.33,1124342
20170718,24.29,24.58,23.94,23.96,1116142
20170719,24.06,24.06,23.21,23.25,1882671
20170720,23.43,23.51,23.10,23.12,3528255
20170721,23.25,24.15,22.95,24.02,2545279
20170724,24.17,24.17,23.42,23.76,1249122
