Date,Open,High,Low,Close,Volume
20010809,41.56,41.70,41.03,41.40,2310300
20010810,41.65,42.29,40.92,42.07,2222300
20010813,41.65,41.88,41.12,41.59,1640700
20010814,42.00,42.10,41.54,41.74,1636200
20010815,41.60,42.24,41.37,41.51,1656700
20010816,41.28,41.46,40.20,40.64,2936500
20010817,40.64,41.13,40.33,40.86,2424900
20010820,40.70,41.25,40.51,40.86,1649600
20010821,41.24,41.67,40.80,40.97,2309800
20010822,40.97,41.90,40.54,41.37,1948500
20010823,41.32,41.74,40.88,41.14,1468800
20010824,41.15,42.43,41.09,42.25,2018800
20010827,42.55,42.60,42.20,42.20,2494900
20010828,42.21,42.33,41.64,41.64,2259500
20010829,41.74,42.16,40.80,41.24,2299800
20010830,41.64,41.66,40.45,40.53,2812100
20010831,40.33,41.32,40.31,40.97,2639000
20010904,41.00,41.80,40.75,41.16,3360300
20010905,41.10,41.30,40.56,41.16,3578600
20010906,40.60,40.95,40.25,40.48,2935600
20010907,39.80,39.81,38.38,38.73,4389900
20010910,38.23,38.74,38.17,38.39,2966800
20010917,36.99,36.99,33.99,34.45,7765000
20010918,35.00,35.99,34.51,35.36,5726300
20010919,35.75,35.99,34.00,35.08,4775700
20010920,34.10,34.74,33.77,34.10,4688000
20010921,33.70,33.88,32.64,33.61,7472600
20010924,34.94,36.00,34.52,36.00,3496200
20010925,35.46,35.80,34.31,35.48,4424200
20010926,36.15,36.15,34.51,35.70,2378600
20010927,35.08,36.15,34.40,36.15,2717800
20010928,36.35,37.52,35.77,37.52,3568600
20011001,37.52,37.79,36.28,37.74,3033000
20011002,37.74,38.25,36.77,37.25,4245000
20011003,37.20,38.27,36.72,38.27,4056800
20011004,38.37,38.40,37.62,38.00,2579000
20011005,38.00,38.60,37.50,37.98,3305100
20011008,37.40,38.06,37.36,37.70,2225600
20011009,37.70,38.14,37.60,38.04,2947600
20011010,37.65,39.59,37.65,39.51,5422600
20011011,39.60,42.10,39.60,41.75,5568100
20011012,41.01,41.45,40.27,41.09,4749200
20011015,40.11,40.83,40.11,40.50,2869700
20011016,40.95,41.42,40.40,41.25,2522400
20011017,41.24,41.94,40.68,40.83,2709100
20011018,40.75,41.20,40.18,40.61,3750800
20011019,40.85,40.88,39.90,40.70,2536900
20011022,40.06,41.96,40.06,41.86,2777300
20011023,41.99,42.50,41.71,42.10,2826100
20011024,40.90,41.93,40.80,41.29,3789400
20011025,39.75,40.38,39.75,40.30,5976600
20011026,40.00,41.62,40.00,41.31,2596200
20011029,41.31,41.33,40.36,40.81,2119500
20011030,40.26,40.70,39.85,40.23,2357900
20011031,40.60,40.83,39.88,39.99,2184400
20011101,40.44,41.56,39.80,41.35,2991600
20011102,41.35,42.28,41.00,41.63,2153900
20011105,42.08,42.82,41.85,42.02,2183100
20011106,41.80,43.24,41.75,43.03,2053000
20011107,42.77,43.70,42.75,43.21,2041500
20011108,42.82,43.74,42.82,43.23,2700400
20011109,42.69,43.47,42.54,42.77,2576200
20011112,42.03,42.48,41.56,42.33,2240800
20011113,42.75,43.50,42.75,43.39,2391000
20011114,43.15,43.50,42.83,43.26,3640400
20011115,43.26,44.24,43.10,44.11,3115300
20011116,44.24,44.24,43.70,43.92,2441400
20011119,44.40,44.95,44.23,44.77,2333000
20011120,44.91,45.48,44.52,45.18,3043500
20011121,44.79,45.10,44.75,44.78,2587400
20011123,44.98,45.75,44.91,45.65,804600
20011126,45.55,45.68,44.47,44.50,2627800
20011127,44.46,44.87,44.01,44.43,2560600
20011128,44.30,44.31,43.77,44.01,2019200
20011129,44.02,44.10,43.45,43.99,2305300
20011130,43.70,44.45,43.68,44.34,2439400
20011203,43.80,43.90,43.10,43.42,3001700
20011204,43.42,44.10,42.93,43.95,2463800
20011205,44.05,45.75,44.05,45.26,3829900
20011206,45.40,45.68,44.90,44.97,2826000
20011207,44.20,44.46,43.65,43.82,2664500
20011210,43.70,44.17,43.04,43.20,2892900
20011211,43.05,44.48,43.05,43.87,1929400
20011212,43.77,43.80,42.50,43.00,2622500
20011213,42.75,42.78,41.50,41.52,3362000
20011214,41.52,42.35,41.40,41.49,3544300
20011217,41.90,42.42,41.72,42.12,2412000
20011218,43.25,43.76,42.81,43.22,3923300
20011219,42.97,43.40,42.55,42.95,3375200
20011220,43.28,43.49,42.31,42.31,3056400
20011221,42.95,43.00,41.85,41.85,5159200
20011224,42.05,42.57,42.05,42.30,885100
20011226,42.30,42.69,42.25,42.25,1765300
20011227,42.30,42.73,42.26,42.45,1371500
20011228,42.55,42.95,42.40,42.64,1482400
20011231,42.32,43.40,42.32,42.51,2093900
20020102,42.85,43.20,42.32,42.92,2529200
20020103,42.75,44.40,42.70,44.05,4831200
20020104,44.50,45.12,44.50,45.12,4615000
20020107,45.00,45.20,44.62,44.65,3533500
20020108,44.75,44.79,44.13,44.20,2234400
20020109,44.60,44.85,44.00,44.10,4206600
20020110,44.17,44.17,42.83,43.06,4243500
20020111,43.20,43.40,42.81,43.02,2111600
20020114,42.75,42.75,41.89,41.96,4140500
20020115,41.96,42.60,41.77,42.27,3499900
20020116,41.48,41.63,40.30,40.30,4379900
20020117,40.30,40.65,39.79,40.51,4125000
