Date,Open,High,Low,Close,Volume
20101015,0.10,0.10,0.10,0.10,5000
20101026,0.09,0.09,0.08,0.08,5000
20101119,0.10,0.10,0.10,0.10,50000
20101130,0.10,0.10,0.10,0.10,15000
20101203,0.10,0.11,0.10,0.11,110000
20101206,0.11,0.12,0.10,0.12,165000
20101207,0.12,0.13,0.12,0.13,585520
20101208,0.13,0.13,0.10,0.12,395183
20101209,0.14,0.14,0.10,0.10,791663
20101210,0.13,0.13,0.06,0.08,3776544
20101213,0.10,0.10,0.04,0.04,1172930
20101214,0.04,0.06,0.03,0.03,550833
20101215,0.04,0.04,0.03,0.03,161100
20101216,0.04,0.04,0.03,0.03,70080
20101217,0.03,0.03,0.03,0.03,99964
20101220,0.03,0.03,0.03,0.03,37400
20101221,0.03,0.03,0.02,0.02,150200
20101222,0.02,0.02,0.01,0.02,1000700
20101223,0.01,0.01,0.01,0.01,415994
20101227,0.02,0.02,0.01,0.01,138441
20101228,0.01,0.02,0.01,0.02,282486
20101229,0.01,0.03,0.01,0.02,26190
20101230,0.02,0.02,0.02,0.02,59400
20101231,0.02,0.02,0.01,0.01,104600
20110103,0.01,0.01,0.01,0.01,49000
20110104,0.01,0.01,0.01,0.01,40500
20110105,0.01,0.01,0.01,0.01,10600
20110106,0.01,0.01,0.01,0.01,1400
20110107,0.01,0.01,0.01,0.01,31000
20110110,0.01,0.01,0.01,0.01,1000
20110112,0.01,0.01,0.01,0.01,16555
20110113,0.01,0.01,0.01,0.01,11826
20110114,0.01,0.01,0.01,0.01,23000
20110118,0.00,0.01,0.00,0.01,44250
20110119,0.01,0.01,0.01,0.01,22000
20110120,0.01,0.01,0.01,0.01,20500
20110121,0.01,0.01,0.01,0.01,20000
20110124,0.01,0.01,0.01,0.01,1500
20110125,0.01,0.01,0.00,0.01,19500
20110126,0.01,0.01,0.01,0.01,2813
20110128,0.01,0.01,0.01,0.01,15800
20110131,0.01,0.01,0.01,0.01,2133
20110201,0.01,0.01,0.01,0.01,10000
20110202,0.01,0.01,0.01,0.01,1000
20110203,0.01,0.01,0.01,0.01,4000
20110207,0.01,0.01,0.01,0.01,7300
20110208,0.01,0.01,0.01,0.01,138000
20110214,0.01,0.01,0.01,0.01,20245
20110215,0.01,0.01,0.01,0.01,200
20110217,0.00,0.00,0.00,0.00,50000
20110218,0.01,0.01,0.01,0.01,10000
20110222,0.00,0.00,0.00,0.00,7400
20110223,0.00,0.01,0.00,0.00,47000
20110225,0.00,0.00,0.00,0.00,42536
20110228,0.00,0.00,0.00,0.00,5000
20110301,0.00,0.00,0.00,0.00,5400
20110302,0.00,0.00,0.00,0.00,2200
20110303,0.01,0.01,0.01,0.01,1000
20110304,0.00,0.00,0.00,0.00,3321889
20110307,0.00,0.00,0.00,0.00,164400
20110321,0.00,0.00,0.00,0.00,250
20110324,0.00,0.00,0.00,0.00,2200
20110325,0.00,0.00,0.00,0.00,37000
20110331,0.00,0.00,0.00,0.00,60000
20110407,0.00,0.00,0.00,0.00,26600
20110408,0.00,0.00,0.00,0.00,50000
20110411,0.00,0.00,0.00,0.00,8000
20110412,0.00,0.00,0.00,0.00,2000
20110414,0.00,0.00,0.00,0.00,10000
20110419,0.00,0.00,0.00,0.00,9300
20110425,0.00,0.00,0.00,0.00,200
20110427,0.00,0.00,0.00,0.00,7500
20110428,0.00,0.00,0.00,0.00,485000
20110429,0.00,0.01,0.00,0.01,105000
20110503,0.01,0.01,0.01,0.01,698933
20110504,0.01,0.01,0.01,0.01,63150
20110505,0.01,0.01,0.01,0.01,161295
20110506,0.01,0.01,0.01,0.01,820057
20110509,0.01,0.01,0.01,0.01,350000
20110510,0.01,0.02,0.01,0.02,1783233
20110511,0.02,0.02,0.01,0.02,331723
20110512,0.02,0.02,0.02,0.02,253026
20110513,0.02,0.02,0.02,0.02,152333
20110516,0.02,0.02,0.02,0.02,242200
20110517,0.02,0.02,0.02,0.02,116241
20110518,0.02,0.02,0.02,0.02,1393220
