Date,Open,High,Low,Close,Volume
20010827,42.00,42.56,41.65,42.17,14277800
20010828,42.25,42.30,41.15,41.23,12651400
20010829,41.65,41.65,40.60,40.61,11864100
20010830,40.70,41.50,39.84,40.20,22051000
20010831,40.15,41.20,40.07,40.98,16594500
20010904,40.90,42.17,40.35,40.83,18444000
20010905,40.98,41.99,40.50,41.70,20147000
20010906,41.30,41.97,40.41,40.50,18416700
20010907,40.00,40.30,39.34,39.66,23877300
20010910,39.01,40.16,38.95,39.35,24057700
20010917,35.50,37.20,34.50,35.15,70953700
20010918,35.20,36.20,33.56,33.85,46078300
20010919,34.40,34.65,31.00,32.50,56138500
20010920,31.30,31.53,30.30,30.37,46186300
20010921,29.00,32.51,28.50,31.30,85471200
20010924,33.75,35.47,32.75,35.20,70340100
20010925,35.21,36.10,34.67,35.50,43817500
20010926,36.00,36.00,35.00,35.48,26374600
20010927,35.60,38.85,35.02,35.95,20973900
20010928,36.30,37.30,36.02,37.20,32329600
20011001,37.30,37.76,37.05,37.64,24368500
20011002,37.55,38.80,36.69,38.05,22343700
20011003,37.65,38.47,37.40,38.15,25569000
20011004,38.45,38.70,37.10,37.39,26451200
20011005,37.39,37.69,35.50,37.45,22762100
20011008,36.75,37.25,36.25,36.80,15671700
20011009,36.80,37.17,36.41,36.82,14162300
20011010,36.81,38.14,36.51,37.91,17902000
20011011,38.40,39.49,38.30,38.95,24005400
20011012,38.94,39.14,37.51,39.00,21822300
20011015,38.55,39.08,38.06,38.86,12854500
20011016,38.86,39.25,38.10,38.47,16495100
20011017,38.75,38.76,35.10,37.15,21637300
20011018,37.10,37.50,36.85,37.25,15139200
20011019,37.00,37.40,36.54,37.25,16344200
20011022,37.15,37.80,37.01,37.61,16263600
20011023,38.00,38.05,36.92,37.27,15150100
20011024,37.28,37.90,36.90,37.08,16002600
20011025,36.85,37.96,36.04,37.87,22499300
20011026,38.24,39.00,37.60,38.88,18570700
20011029,38.65,38.75,37.35,37.43,14128900
20011030,36.75,36.98,36.32,36.34,15248400
20011031,36.60,37.15,36.25,36.41,15799500
20011101,36.25,38.23,36.05,37.91,18551100
20011102,37.60,38.40,37.08,37.96,13966600
20011105,38.60,39.10,38.44,38.77,15107200
20011106,38.77,40.20,38.45,39.80,16761100
20011107,39.65,39.96,39.09,39.35,15125200
20011108,39.55,40.47,39.45,40.35,20010300
20011109,40.29,40.48,39.84,40.41,11791600
20011112,39.90,40.15,38.61,39.43,19774100
20011113,40.00,40.70,39.80,40.56,16335800
20011114,40.95,41.40,40.51,40.88,14111600
20011115,40.88,41.60,40.80,41.55,16773600
20011116,41.55,41.55,40.26,40.85,17233400
20011119,41.15,41.58,40.70,41.25,14075100
20011120,41.20,41.77,40.80,41.10,14156500
20011121,41.00,41.20,40.16,40.45,12000700
20011123,40.65,41.15,40.55,41.02,5242600
20011126,41.45,41.72,40.92,41.32,12432100
20011127,41.20,41.78,40.63,41.07,13840400
20011128,40.25,41.00,39.14,39.35,23720000
20011129,39.35,39.79,39.14,39.73,15279700
20011130,39.73,39.88,38.45,38.50,23365400
20011203,38.40,38.40,36.61,36.92,33686600
20011204,37.75,38.21,37.00,37.35,28996900
20011205,37.60,38.26,37.11,37.55,34862400
20011206,37.90,38.39,37.55,37.75,19261600
20011207,37.76,37.76,37.05,37.15,16267100
20011210,37.20,38.15,36.65,36.80,20635900
20011211,37.35,37.50,36.44,36.70,20599100
20011212,37.45,37.46,36.21,37.05,22542100
20011213,36.85,37.90,36.55,37.05,25992900
20011214,37.05,37.99,36.45,37.65,26065000
20011217,37.80,38.85,37.70,38.30,26773400
20011218,39.75,40.10,38.86,39.72,32978200
