Date,Open,High,Low,Close,Volume
20110103,0.15,0.15,0.15,0.15,300
20110111,0.15,0.16,0.15,0.16,30000
20110112,0.16,0.16,0.16,0.16,30000
20110113,0.30,0.55,0.29,0.55,13500
20110118,0.50,0.50,0.50,0.50,4000
20110124,0.45,0.50,0.21,0.40,8444
20110125,0.59,0.59,0.59,0.59,507
20110128,0.60,0.69,0.50,0.50,3200
20110204,0.50,0.50,0.50,0.50,499
20110209,0.75,0.75,0.75,0.75,200
20110210,0.50,0.50,0.50,0.50,350
20110214,0.75,0.75,0.75,0.75,1151
20110215,0.73,0.73,0.73,0.73,175
20110217,0.50,0.50,0.50,0.50,1200
20110225,0.70,0.70,0.70,0.70,240
20110303,0.50,0.50,0.50,0.50,3500
20110406,0.35,0.35,0.35,0.35,4100
20110413,0.50,0.50,0.50,0.50,100
20110426,0.30,0.30,0.30,0.30,100
20110427,0.45,0.45,0.45,0.45,500
20110428,0.45,0.45,0.45,0.45,454
20110506,0.30,0.30,0.30,0.30,1000
20110519,0.30,0.30,0.30,0.30,5000
20110526,0.25,0.25,0.25,0.25,1000
20110601,0.25,0.25,0.25,0.25,120
20110606,0.25,0.25,0.25,0.25,100
20110608,0.25,0.25,0.25,0.25,1220
20110714,0.25,0.25,0.25,0.25,1650
20110718,0.25,0.25,0.25,0.25,1450
20110727,0.25,0.25,0.25,0.25,9260
20110808,0.25,0.25,0.25,0.25,175
20110907,0.25,0.25,0.25,0.25,700
20110908,0.35,0.35,0.35,0.35,300
20110909,0.25,0.25,0.25,0.25,300
20110920,0.27,0.27,0.27,0.27,13864
20110927,0.27,0.27,0.27,0.27,5000
20111014,0.20,0.20,0.20,0.20,200
20111017,0.24,0.24,0.20,0.20,12645
20111018,0.19,0.19,0.19,0.19,1000
20111031,0.17,0.17,0.17,0.17,5700
20111110,0.10,0.10,0.10,0.10,4728
20111111,0.19,0.19,0.19,0.19,200
20111116,0.08,0.08,0.08,0.08,1000
20111125,0.08,0.09,0.08,0.09,12189
