Date,Open,High,Low,Close,Volume
20130814,8.25,8.39,8.22,8.35,71710
20130815,8.25,8.35,8.10,8.20,154297
20130816,8.20,8.35,8.20,8.30,93354
20130819,8.35,8.50,8.25,8.30,47026
20130820,8.32,8.40,8.26,8.30,53733
20130821,8.50,8.50,8.19,8.30,56951
20130822,8.45,8.45,8.10,8.31,15215
20130823,8.00,8.45,8.00,8.36,12312
20130826,8.40,8.40,8.30,8.32,23603
20130827,8.30,8.35,8.30,8.30,11980
20130828,8.32,8.40,8.28,8.35,5210
20130829,8.30,8.31,8.10,8.24,53839
20130830,8.11,8.40,8.05,8.30,30057
20130903,8.23,8.26,8.17,8.26,5917
20130904,8.34,8.40,8.21,8.31,9604
20130905,8.42,8.42,8.31,8.35,5620
20130906,8.42,8.42,8.05,8.18,18472
20130909,8.07,8.45,8.07,8.45,15590
20130920,8.29,8.30,8.14,8.14,24485
20130923,8.14,8.39,8.14,8.26,17875
20130924,8.21,8.36,8.21,8.33,16270
20130925,8.40,8.43,8.32,8.32,36405
20130926,8.31,8.39,8.28,8.28,10010
20130927,8.25,8.36,8.24,8.26,10913
20130930,8.25,8.30,8.23,8.25,10944
20131001,8.26,8.35,8.26,8.26,6190
20131002,8.30,8.41,8.26,8.26,8714
20131003,8.33,8.37,8.28,8.30,10123
20131004,8.28,8.40,8.28,8.33,7555
20131007,8.37,8.37,8.28,8.29,14433
20131008,8.30,8.34,8.25,8.26,13587
20131009,8.27,8.30,8.25,8.30,9093
20131010,8.26,8.39,8.26,8.30,15494
20131011,8.36,8.37,8.31,8.32,14322
20131014,8.31,8.39,8.30,8.31,9800
20131015,8.36,8.39,8.31,8.31,7765
20131016,8.36,8.52,8.36,8.48,36440
20131017,8.50,8.50,8.41,8.50,36456
20131018,8.50,8.50,8.45,8.46,44140
20131021,8.45,8.50,8.41,8.47,53285
20131022,8.50,8.50,8.40,8.50,36880
20131023,8.50,8.55,8.48,8.50,26237
20131024,8.55,8.69,8.52,8.60,42117
20131025,8.58,8.74,8.55,8.70,15792
20131028,8.72,8.75,8.62,8.62,23204
20131029,8.60,8.65,8.56,8.59,18625
20131030,8.60,8.65,8.51,8.65,15518
20131031,8.68,8.68,8.55,8.59,23665
20131101,8.61,8.74,8.58,8.61,71220
20131104,8.64,8.68,8.60,8.68,9660
20131105,8.75,8.75,8.63,8.63,23435
20131106,8.66,8.74,8.66,8.74,3760
20131107,8.74,8.85,8.74,8.81,16240
20131108,8.81,8.84,8.72,8.75,31720
20131111,8.72,8.74,8.65,8.73,5833
20131112,8.67,8.84,8.63,8.73,11487
20131113,8.64,8.76,8.64,8.67,17496
20131114,8.76,8.99,8.67,8.71,12235
20131115,8.67,8.75,8.66,8.68,7906
20131118,8.75,8.75,8.67,8.70,13653
20131119,8.81,8.81,8.61,8.66,23978
20131120,8.71,8.82,8.60,8.65,21963
20131121,8.60,8.71,8.57,8.70,12128
20131122,8.65,8.76,8.56,8.58,39661
20131125,8.60,8.60,8.50,8.50,35480
20131126,8.47,8.54,8.42,8.46,12005
20131127,8.48,8.53,8.30,8.40,12803
20131129,8.47,8.60,8.34,8.37,16563
20131202,8.45,8.47,8.30,8.33,12060
20131203,8.34,8.39,8.30,8.33,23268
20131204,8.30,8.34,8.30,8.32,11376
20131205,8.31,8.34,8.31,8.33,9325
20131206,8.39,8.42,8.38,8.40,7917
20131209,8.40,8.42,8.39,8.40,7866
20131210,8.39,8.43,8.39,8.40,11611
20131211,8.40,8.43,8.39,8.40,21010
20131212,8.40,8.72,8.40,8.57,7554
20131213,8.53,8.64,8.46,8.62,19035
20131216,8.65,8.65,8.39,8.45,19635
20131217,8.50,8.50,8.39,8.39,8200
20131218,8.41,8.42,8.27,8.35,15376
20131219,8.30,8.37,8.30,8.32,4792
20131220,8.33,8.38,7.95,7.95,20857
20131223,8.35,8.45,8.31,8.32,12112
20131224,8.37,8.69,8.37,8.54,4659
20131226,8.49,8.52,8.32,8.35,21046
20131227,8.36,8.44,8.36,8.40,11968
20131230,8.32,8.48,8.32,8.40,5489
20131231,8.41,8.48,8.31,8.34,8932
20140102,8.40,8.70,8.40,8.58,18127
20140103,8.45,8.54,8.45,8.50,28156
20140106,8.50,8.52,8.47,8.48,9706
20140107,8.51,8.52,8.43,8.50,28661
20140108,8.55,8.60,8.49,8.49,9944
20140109,8.55,8.55,8.49,8.53,8537
20140110,8.50,8.53,8.50,8.50,26407
20140113,8.50,8.50,8.45,8.48,1737
20140114,8.42,8.67,8.42,8.64,11275
20140115,8.62,8.70,8.47,8.63,9747
20140116,9.28,9.28,8.79,8.79,47712
20140117,8.94,8.95,8.82,8.84,35041
20140121,8.50,8.65,8.31,8.58,193414
20140122,8.59,8.71,8.50,8.54,145029
20140123,8.61,8.64,8.38,8.49,220051
20140124,8.15,8.27,8.15,8.25,5717460
20140127,8.25,8.31,8.20,8.27,503870
20140128,8.31,8.33,8.25,8.28,346221
20140129,8.22,8.30,8.22,8.28,89560
20140130,8.26,8.31,8.25,8.26,149690
20140131,8.30,8.30,8.19,8.20,276825
20140203,8.32,8.32,8.22,8.27,99185
20140204,8.25,8.31,8.25,8.25,113950
20140205,8.25,8.31,8.25,8.29,70771
20140206,8.34,8.35,8.26,8.33,106506
20140207,8.37,8.37,8.31,8.34,50954
20140210,8.37,8.39,8.31,8.39,152810
20140211,8.40,8.40,8.33,8.40,60425
20140212,8.39,8.51,8.36,8.47,127311
20140213,8.46,8.50,8.35,8.47,74062
20140214,8.45,8.57,8.40,8.48,155638
20140218,8.53,8.57,8.45,8.57,79537
20140219,8.56,8.62,8.46,8.49,32702
20140220,8.50,8.54,8.47,8.51,94012
20140221,8.49,8.62,8.49,8.59,45193
20140224,8.56,8.66,8.51,8.56,82457
20140225,8.56,8.60,8.45,8.50,153756
20140226,8.50,8.65,8.47,8.55,86936
20140227,8.60,8.67,8.53,8.58,49793
20140228,8.61,8.74,8.56,8.61,78135
20140303,8.64,8.68,8.58,8.67,161017
20140304,8.70,8.79,8.70,8.75,98843
20140305,8.75,9.06,8.73,8.90,103629
20140306,8.92,8.99,8.83,8.90,76718
20140307,8.90,8.95,8.70,8.79,80487
20140310,8.89,8.94,8.71,8.73,65785
20140311,8.87,8.87,8.75,8.78,20487
20140312,8.82,8.94,8.79,8.90,26411
20140313,8.82,8.90,8.81,8.85,22950
20140314,8.91,8.92,8.71,8.80,52677
20140317,8.89,8.89,8.75,8.85,45756
20140318,8.77,8.88,8.77,8.79,45603
20140319,8.75,8.82,8.54,8.62,107497
20140320,8.74,8.75,8.62,8.71,48380
20140321,8.72,8.95,8.67,8.82,160726
20140324,8.82,8.84,8.71,8.73,40709
20140325,8.76,8.83,8.67,8.67,39478
20140326,8.68,8.89,8.63,8.64,30583
20140327,8.79,8.80,8.65,8.75,86517
20140328,8.79,8.92,8.79,8.80,23465
20140331,8.87,8.94,8.87,8.91,121724
20140401,8.98,8.99,8.70,8.81,53626
20140402,8.90,8.99,8.86,8.88,83866
20140403,8.96,9.09,8.83,8.83,48622
20140404,8.92,8.92,8.78,8.84,64874
20140407,8.80,8.95,8.80,8.85,24368
20140408,8.94,9.10,8.80,8.90,89515
20140409,8.97,9.10,8.88,8.98,103519
20140410,8.99,9.05,8.84,8.84,102244
20140411,8.88,9.00,8.85,8.86,34529
20140414,8.86,8.95,8.83,8.83,31800
20140415,8.91,9.00,8.82,8.92,59448
20140416,9.01,9.02,8.93,8.93,67165
20140417,9.00,9.02,8.91,8.95,44178
20140421,8.99,9.00,8.96,8.96,40122
20140422,9.02,9.02,8.90,8.97,61732
20140423,9.00,9.04,8.97,9.04,46149
20140424,9.05,9.07,8.96,9.05,46015
20140425,9.08,9.08,8.91,8.91,36566
20140428,8.83,8.96,8.83,8.90,25138
20140429,8.91,8.98,8.88,8.92,19977
20140430,8.94,8.99,8.90,8.94,38322
20140501,8.91,9.01,8.91,8.99,59555
20140502,8.99,9.09,8.98,9.02,31806
20140505,9.00,9.15,9.00,9.07,34468
