Date,Open,High,Low,Close,Volume
20010809,53.60,54.05,53.50,53.86,4990900
20010810,54.10,55.05,53.96,55.02,8358200
20010813,55.02,55.98,55.02,55.70,8776700
20010814,56.00,57.05,55.95,56.99,11503500
20010815,57.15,57.60,56.80,57.00,10413400
20010816,56.57,56.60,54.58,54.89,11481000
20010817,54.93,55.12,53.05,53.75,13240000
20010820,54.00,55.00,54.00,54.85,8890100
20010821,54.00,54.94,54.00,54.30,7935000
20010822,54.38,54.90,53.93,54.78,6650000
20010823,54.05,55.10,54.04,54.64,5391900
20010824,54.31,55.00,54.28,54.60,5710200
20010827,54.50,54.74,54.30,54.35,3914800
20010828,54.21,54.48,53.70,53.87,4337100
20010829,53.88,53.96,53.14,53.28,4755300
20010830,53.29,54.00,52.81,53.09,5850700
20010831,53.20,53.20,52.30,52.71,6776000
20010904,55.35,56.81,55.00,56.15,18216900
20010905,55.45,56.50,55.25,56.24,11712000
20010906,56.50,57.16,56.15,56.94,14478600
20010907,55.80,56.25,54.90,55.73,9129200
20010910,55.70,56.25,55.06,55.62,6678700
20010917,57.00,57.00,54.81,55.82,12180800
20010918,54.55,55.00,53.37,54.50,13226500
20010919,54.50,54.51,52.10,53.54,11873800
20010920,52.50,53.24,52.35,52.35,9319200
20010921,50.50,55.00,50.20,52.24,16844900
20010924,53.65,53.80,51.75,52.41,12904800
20010925,52.41,53.15,52.00,52.94,9188700
20010926,53.43,54.13,52.60,54.13,9075100
20010927,54.23,55.04,53.77,54.48,10004600
20010928,55.20,55.40,54.40,55.40,10632100
20011001,55.40,55.45,54.55,55.42,8413200
20011002,54.55,55.15,53.76,54.99,9769500
20011003,54.10,54.45,53.05,54.27,10857100
20011004,55.00,55.25,54.28,54.45,8242100
20011005,54.60,55.70,54.56,55.49,6649600
20011008,55.25,56.08,55.05,55.77,5430200
20011009,55.75,55.80,55.12,55.44,4059200
20011010,55.06,56.23,55.00,56.04,6266000
20011011,55.15,55.43,53.90,54.94,10446500
20011012,54.50,55.48,54.30,55.35,5583900
20011015,55.15,55.72,54.86,55.72,4806300
20011016,56.00,57.10,55.70,56.77,14127400
20011017,57.45,58.15,57.00,57.77,12358800
20011018,58.00,58.40,57.65,58.08,8884900
20011019,58.08,58.60,57.58,58.42,7053200
20011022,58.21,59.08,58.20,58.97,8757200
20011023,58.98,59.32,58.42,58.85,7222500
20011024,58.86,59.66,58.75,59.26,8641500
20011025,58.80,59.08,57.80,58.97,6087100
