Date,Open,High,Low,Close,Volume
20150727,20.95,21.20,20.05,20.85,2345
20150728,21.00,21.00,19.37,21.00,1470
20150729,20.95,21.00,19.26,21.00,1900
20150730,21.00,21.00,21.00,21.00,775
20150731,21.00,21.00,19.70,19.70,1640
20150803,26.88,26.88,20.00,23.45,322847
20150804,24.25,25.86,19.24,21.15,1516873
20150805,21.00,21.36,20.13,20.56,692747
20150806,20.50,20.65,17.28,18.60,326714
20150807,18.34,19.58,17.67,19.30,598965
20150810,19.43,19.69,18.82,19.01,259050
20150811,18.79,19.94,18.79,19.56,741767
20150812,19.47,19.50,18.69,19.37,452753
20150813,19.80,20.78,19.38,20.60,491708
20150814,19.95,20.89,19.22,20.33,526558
20150817,19.93,21.70,19.93,21.07,562677
20150818,21.28,21.58,21.10,21.44,380059
20150819,21.08,21.81,20.31,21.39,299705
20150820,21.14,21.90,20.43,21.20,716639
20150821,20.95,21.36,20.61,21.25,358310
20150824,19.99,20.25,19.75,21.01,405695
20150825,21.01,21.36,19.77,20.40,532391
20150826,20.00,20.94,20.00,20.41,376940
20150827,20.26,20.86,20.26,20.40,269138
20150828,20.20,20.24,18.82,19.92,202486
20150831,19.52,19.95,19.44,19.74,164727
20150901,19.22,19.71,18.87,19.08,201742
20150902,18.98,20.18,18.13,18.71,451099
20150903,18.49,19.46,18.30,19.31,305260
20150904,19.07,19.44,18.65,19.07,359398
20150908,18.96,19.50,17.21,17.77,559595
20150909,17.50,18.99,17.39,18.79,467958
20150910,18.53,18.78,18.16,18.35,176938
20150911,17.90,18.59,17.66,17.71,597369
20150914,17.72,17.82,17.35,17.57,392380
20150915,17.66,17.83,17.33,17.38,433729
20150916,17.32,17.51,16.95,16.97,325254
20150917,16.97,17.50,16.97,17.25,348179
20150918,17.14,17.18,16.95,17.08,360855
20150921,17.08,17.20,16.96,17.05,329047
20150922,16.89,16.99,16.74,16.81,241638
20150923,16.77,16.94,16.66,16.78,338823
20150924,16.95,17.01,16.78,16.94,353124
20150925,16.89,17.12,16.76,16.98,482045
20150928,16.87,17.01,16.66,16.92,386925
20150929,16.83,16.99,16.66,16.84,117937
20150930,16.82,17.00,16.75,16.95,345504
20151001,16.88,16.98,16.54,16.54,265445
20151002,16.48,16.65,15.59,15.76,378309
20151005,15.68,15.96,15.49,15.59,268358
20151006,15.51,15.55,15.27,15.28,429519
20151007,15.40,15.56,15.16,15.23,437954
