Date,Open,High,Low,Close,Volume
20161010,8.00,8.38,8.00,8.00,267622
20161011,8.00,8.14,7.45,7.50,282406
20161012,7.50,7.59,7.50,7.50,98964
20161013,7.50,7.63,6.15,6.78,145423
20161014,6.58,6.80,6.28,6.50,115255
20161017,6.65,6.69,6.25,6.69,162170
20161018,6.75,6.75,6.40,6.62,82104
20161019,6.75,6.75,6.40,6.56,22002
20161020,6.41,6.68,6.41,6.61,49378
20161021,6.51,6.65,6.45,6.50,90505
20161024,6.54,6.59,6.43,6.46,19128
20161025,6.46,6.69,6.25,6.33,57110
20161026,6.29,7.36,6.26,7.36,98200
20161027,7.30,7.65,6.86,7.50,275304
20161028,7.51,7.52,6.59,6.82,55283
20161031,6.88,6.90,6.59,6.66,39632
20161101,6.40,7.30,6.40,7.25,19043
20161102,7.42,7.42,6.75,6.98,54118
20161103,7.20,7.20,6.45,6.59,68403
20161104,6.93,7.00,6.47,6.87,44340
20161107,7.25,7.25,6.75,6.84,23995
20161108,6.87,7.19,6.75,7.04,19299
20161109,6.98,7.25,6.90,6.92,13190
20161110,7.25,7.25,6.90,7.03,9626
20161111,7.00,7.00,6.80,6.80,9735
20161114,6.80,7.16,6.77,6.93,36062
20161115,7.49,7.60,6.81,6.91,33890
20161116,7.20,7.53,6.95,6.96,17634
20161117,7.04,7.04,6.86,6.86,22781
20161118,7.48,7.48,6.80,7.20,30812
20161121,7.19,7.22,7.00,7.22,36604
20161122,7.20,7.25,7.15,7.23,27006
20161123,7.28,7.28,6.90,7.07,136907
20161125,7.07,7.29,7.07,7.29,9535
20161128,7.17,7.24,7.00,7.23,18361
20161129,7.17,7.33,7.15,7.33,21103
20161130,7.28,7.40,7.20,7.34,8254
20161201,7.35,7.59,7.30,7.50,22879
20161202,7.50,7.50,7.21,7.37,28186
20161205,7.44,7.64,7.17,7.39,42079
20161206,7.45,7.45,7.22,7.30,100706
20161207,7.28,7.50,7.28,7.35,28961
20161208,7.35,7.48,7.25,7.35,30762
20161209,7.35,7.35,7.20,7.34,21051
20161212,7.34,7.74,7.34,7.44,96744
20161213,7.45,7.45,7.36,7.44,44335
20161214,7.39,7.42,7.15,7.25,26658
20161215,7.40,7.44,7.15,7.17,26721
20161216,7.20,7.44,6.63,6.63,158172
20161219,6.77,7.14,6.77,6.91,38474
20161220,6.94,7.23,6.94,7.09,74551
20161221,7.12,7.34,7.06,7.07,71395
20161222,7.07,7.35,7.07,7.35,73993
20161223,7.36,7.45,7.15,7.33,23531
20161227,7.34,7.34,7.13,7.29,14816
20161228,7.50,7.50,7.28,7.28,27964
20161229,7.40,7.40,7.31,7.38,115548
20161230,7.50,8.30,7.34,8.29,67735
20170103,8.26,8.26,7.60,7.63,20657
20170104,7.65,7.94,7.30,7.61,14942
20170105,7.47,8.24,7.45,7.58,10077
20170106,7.73,8.19,7.64,7.66,102405
20170109,7.71,8.04,7.71,8.00,3487
20170110,8.02,8.08,7.77,7.78,5435
20170111,8.20,8.49,8.00,8.41,52277
20170112,8.60,8.60,8.03,8.03,29038
20170113,8.05,8.41,8.04,8.05,29280
20170117,8.03,8.20,8.03,8.11,35253
20170118,8.33,8.40,8.24,8.26,18311
20170119,8.47,8.50,8.22,8.24,32728
20170120,8.29,8.32,8.03,8.32,22967
20170123,8.32,8.32,8.00,8.25,20152
20170124,8.26,8.30,7.91,8.03,30954
20170125,8.03,8.32,8.03,8.18,31658
20170126,8.15,8.26,8.15,8.26,33242
20170127,8.43,8.44,8.21,8.24,10291
20170130,8.23,8.49,8.20,8.24,10375
20170131,8.45,8.45,8.01,8.11,16020
20170201,8.10,8.10,7.95,7.99,23659
20170202,7.86,8.01,7.86,7.97,24909
20170203,8.10,8.12,7.95,8.05,21856
20170206,7.99,8.10,7.94,8.01,5607
20170207,8.08,8.08,8.00,8.00,7751
20170208,7.93,8.00,7.90,7.92,40623
20170209,7.98,7.99,7.78,7.85,18608
20170210,7.85,8.02,7.85,7.99,3934
20170213,7.95,7.99,7.95,7.95,2018
20170214,7.95,8.71,7.95,8.70,114784
20170215,9.25,9.43,8.70,9.09,276566
20170216,9.18,9.38,8.82,9.04,42223
20170217,9.04,9.47,9.02,9.33,52856
20170221,9.44,10.00,9.41,9.99,120872
20170222,10.08,10.16,9.90,10.13,64255
20170223,10.22,10.22,9.76,9.91,41284
20170224,9.88,10.15,9.51,10.15,37930
20170227,10.19,10.19,9.79,9.87,16990
20170228,9.83,10.25,9.70,10.03,47602
20170301,10.05,10.28,9.59,9.78,48109
20170302,9.92,10.05,9.76,10.03,32093
20170303,9.97,9.97,8.95,9.01,79355
20170306,8.99,9.41,8.97,8.99,13544
20170307,8.95,9.05,8.91,9.00,22550
20170308,8.95,9.01,8.88,8.95,12766
20170309,8.90,8.96,8.73,8.79,22285
20170310,8.75,8.82,8.25,8.51,86782
20170313,8.58,8.58,8.38,8.50,34003
20170314,8.42,8.61,8.29,8.30,28307
20170315,8.32,8.36,7.56,7.56,42730
20170316,7.50,8.08,7.49,8.04,34811
20170317,8.16,8.38,8.01,8.09,29381
20170320,8.21,8.40,8.00,8.03,31837
20170321,7.97,8.20,7.50,7.50,32333
20170322,7.52,8.08,7.52,7.73,53416
20170323,7.69,8.02,7.00,7.80,57332
20170324,7.87,7.96,7.59,7.88,15844
20170327,7.81,8.06,7.61,7.65,24831
20170328,7.47,7.95,7.47,7.70,23704
20170329,7.50,7.85,7.50,7.82,18075
20170330,7.77,8.05,7.74,7.93,122476
20170331,7.98,8.93,7.96,8.38,135922
20170403,8.32,8.75,8.15,8.31,54503
20170404,8.35,8.50,8.15,8.15,68325
20170405,8.60,8.60,7.80,7.95,37872
20170406,8.02,8.90,7.90,8.89,54558
20170407,9.21,9.21,8.50,8.70,41672
20170410,8.89,8.92,8.50,8.50,7908
20170411,8.48,8.90,8.12,8.38,8198
20170412,8.38,8.78,8.29,8.59,14651
20170413,8.66,8.69,8.35,8.46,6110
20170417,8.59,8.78,8.40,8.74,8246
20170418,8.70,8.86,8.66,8.68,31432
20170419,8.68,9.22,8.68,9.16,66953
20170420,9.22,9.32,9.10,9.27,52749
20170421,9.37,9.40,8.82,9.15,40384
20170424,9.22,9.35,8.98,9.29,79770
20170425,9.39,9.73,9.02,9.41,74517
20170426,9.64,9.74,9.35,9.74,34495
20170427,9.98,9.98,9.27,9.30,36142
20170428,9.42,10.00,9.31,10.00,28750
20170501,10.00,10.10,9.76,10.02,105633
20170502,10.05,10.06,9.40,9.63,49722
20170503,9.60,9.60,8.87,9.34,14998
20170504,8.88,9.35,8.88,9.31,16026
20170505,9.25,9.25,9.10,9.21,5016
20170508,9.29,9.44,9.13,9.44,7912
20170509,9.30,9.58,9.23,9.50,22879
20170510,9.42,9.59,9.40,9.40,10411
20170511,9.43,9.71,9.11,9.11,41640
20170512,9.02,10.20,9.02,10.06,93753
20170515,10.00,10.62,9.88,10.16,51069
20170516,10.25,10.29,9.61,10.29,47524
20170517,9.69,9.75,9.03,9.34,82436
20170518,9.29,9.99,9.10,9.85,60715
20170519,9.80,9.90,9.39,9.90,24918
20170522,10.14,12.00,10.13,11.08,628533
20170523,11.90,12.70,11.49,12.49,432810
20170524,12.50,13.74,12.50,13.20,314052
20170525,13.50,13.65,11.64,12.97,292661
20170526,13.00,13.10,12.55,13.02,90702
20170530,13.16,14.75,12.75,14.57,265466
20170531,15.15,18.48,15.01,17.98,737602
20170601,18.50,20.50,17.32,17.85,736087
20170602,17.45,17.60,15.05,16.64,540685
20170605,17.15,17.15,15.66,16.32,308724
20170606,16.35,16.73,15.81,15.96,253090
20170607,15.96,16.50,15.20,15.33,322147
20170608,15.20,18.26,14.77,18.03,461302
20170609,18.25,21.44,16.55,18.22,627445
20170612,17.86,19.20,17.04,17.76,191983
20170613,17.75,19.10,17.62,18.59,226788
20170614,19.00,19.00,16.77,17.74,150339
20170615,17.90,18.00,17.01,17.43,92034
20170616,17.70,19.00,17.13,18.81,415800
20170619,19.10,20.05,19.01,20.00,441503
20170620,20.39,22.00,19.93,21.90,441967
20170621,21.70,22.65,21.02,22.55,349508
20170622,22.81,23.11,21.34,21.98,248419
20170623,21.84,21.84,19.71,21.38,282626
20170626,21.19,22.23,20.52,21.65,201330
20170627,21.38,22.00,21.18,21.20,192493
20170628,20.95,22.35,20.33,21.89,252395
20170629,22.00,22.00,18.75,20.53,374548
20170630,20.72,20.97,19.49,19.98,141369
20170703,19.74,21.20,19.74,21.18,102426
20170705,20.95,23.32,20.41,23.11,311486
20170706,23.21,23.21,22.09,22.35,241822
20170707,22.38,22.95,22.02,22.16,179995
20170710,22.31,24.99,22.17,24.01,617618
20170711,24.25,24.83,23.51,23.98,209811
20170712,24.48,24.61,23.07,23.07,219768
20170713,23.09,24.50,23.09,23.94,183973
20170714,24.07,24.99,23.81,23.82,172179
20170717,23.85,24.90,23.85,24.88,182697
20170718,25.10,25.39,23.05,23.36,281937
20170719,23.24,23.50,21.21,21.91,473191
20170720,21.80,21.91,20.01,20.67,424694
20170721,20.80,21.79,20.10,21.16,239683
20170724,21.00,21.00,18.07,18.47,464206
