Date,Open,High,Low,Close,Volume
20010828,31.17,31.47,30.29,30.37,46102800
20010829,30.53,30.65,29.77,30.12,46519000
20010830,29.52,29.83,28.26,28.47,95959800
20010831,28.42,29.03,28.15,28.53,54556400
20010904,28.60,29.54,28.02,28.05,65583600
20010905,28.09,29.20,27.64,28.87,88311200
20010906,28.28,29.20,27.86,28.01,8675200
20010907,28.06,28.68,27.50,27.70,88395800
20010910,27.46,28.98,27.35,28.79,83409600
20010917,27.10,27.55,26.25,26.46,21648600
20010918,26.70,27.50,26.58,27.16,80929600
20010919,27.23,27.56,25.30,26.93,24564200
20010920,26.18,26.30,25.12,25.38,14895800
20010921,23.96,25.30,23.75,24.86,80926200
20010924,25.36,26.22,24.93,26.00,81228800
20010925,26.14,26.50,25.08,25.65,81739400
20010926,25.76,25.90,24.78,25.14,56296000
20010927,25.05,25.34,24.00,24.98,79387000
20010928,24.81,25.80,24.49,25.58,8215400
20011001,25.47,26.25,25.20,25.89,67583000
20011002,25.82,26.78,25.78,26.53,78393000
20011003,26.25,28.46,26.20,28.12,92123000
20011004,28.46,29.20,28.11,28.22,99608600
20011005,28.08,29.00,27.47,28.86,79176000
20011008,28.42,29.32,28.37,29.02,59402600
20011009,28.75,28.79,27.10,27.28,95553400
20011010,26.80,27.88,26.50,27.76,84976600
20011011,27.88,28.42,27.30,28.16,83265200
20011012,27.85,28.32,27.28,28.19,61702400
20011015,27.95,29.25,27.92,29.03,67383400
20011016,28.94,29.46,28.60,29.22,64748400
20011017,29.56,29.65,27.90,28.02,71934600
20011018,28.17,28.79,27.75,28.38,68648000
20011019,28.70,29.02,27.82,28.95,89234800
20011022,28.95,30.10,28.74,30.08,70490200
20011023,30.24,30.72,29.70,30.22,78608400
20011024,30.25,30.81,29.81,30.66,76795400
20011025,30.31,31.30,29.78,31.28,73505200
20011026,31.16,31.82,31.04,31.10,61501800
20011029,31.05,31.10,29.77,29.82,55118000
20011030,29.46,29.77,29.10,29.44,55306200
20011031,29.65,30.36,29.00,29.08,61723200
20011101,30.04,31.13,29.80,30.92,6325600
20011102,30.96,31.51,30.26,30.70,81649200
20011105,30.94,32.02,30.88,31.64,64138200
20011106,31.35,32.55,31.08,32.39,66135000
20011107,32.11,32.52,32.02,32.12,58128200
20011108,32.23,33.03,31.83,32.21,71770800
20011109,32.17,32.82,31.96,32.60,47025200
20011112,32.35,33.22,31.82,32.90,56648200
20011113,33.40,34.00,33.30,33.95,58741600
20011114,34.11,34.17,32.90,32.98,84675000
20011115,33.05,33.52,32.72,33.06,73756000
20011116,33.15,33.31,32.48,32.88,56719600
20011119,33.12,33.48,32.85,33.27,53929000
20011120,33.22,33.90,32.52,32.70,63593400
20011121,32.18,32.30,31.74,32.02,48585800
20011123,32.23,32.40,31.81,32.36,15379600
20011126,32.50,32.86,32.20,32.57,40060200
20011127,32.40,32.54,31.38,31.87,88638000
20011128,31.60,32.06,31.36,31.40,52098000
20011129,31.56,32.48,31.48,32.42,52079600
20011130,32.33,32.54,31.96,32.10,44457400
20011203,31.92,32.62,31.90,32.38,45733200
20011204,32.50,33.06,32.05,33.00,49105800
20011205,33.24,34.08,33.19,34.05,74239600
20011206,33.99,34.50,33.78,34.32,54134200
20011207,34.10,34.42,33.28,33.92,41183200
20011210,33.76,34.22,33.43,33.53,35574600
20011211,33.82,34.07,33.50,33.66,52087000
20011212,33.58,34.00,33.12,33.98,46090400
20011213,33.56,34.12,33.04,33.14,50853400
20011214,33.01,33.98,32.96,33.72,40817800
20011217,33.58,34.56,33.58,34.49,54668000
20011218,34.46,34.74,34.30,34.64,45821200
20011219,34.31,34.95,34.22,34.74,56147800
20011220,34.58,34.70,33.31,33.38,76141000
20011221,34.00,34.40,33.50,33.77,74693800
20011224,33.86,34.02,33.60,33.64,11290400
20011226,33.71,34.54,33.70,33.84,28536400
20011227,33.99,34.36,33.63,33.92,30992000
20011228,34.12,34.42,33.85,33.94,27357400
20011231,33.92,34.24,33.05,33.12,36055400
20020102,33.30,33.58,32.76,33.52,46522200
20020103,33.56,34.64,33.54,34.62,65420600
20020104,34.62,34.96,34.34,34.45,51005400
20020107,34.88,35.01,34.18,34.28,57486800
20020108,34.34,35.00,34.00,34.69,46261200
20020109,34.86,35.31,34.24,34.36,74262400
20020110,34.24,34.90,34.06,34.64,48860200
20020111,34.76,35.16,34.05,34.30,67940000
20020114,34.15,34.52,33.87,34.24,49436200
20020115,34.33,34.81,34.25,34.78,58005000
20020116,34.42,34.92,33.82,33.94,60598200
20020117,34.26,35.00,33.78,34.93,66455800
20020118,33.54,33.92,32.71,33.05,4790600
20020122,33.30,33.32,32.12,32.23,75507200
20020123,32.02,32.36,31.62,31.87,78179200
20020124,32.05,32.59,31.90,32.33,79278000
20020125,32.10,32.42,31.76,31.90,48289000
20020128,32.12,32.20,31.46,31.91,40568400
20020129,31.95,32.25,31.00,31.16,57147000
20020130,31.22,31.45,30.66,31.42,64663800
20020131,31.53,31.95,31.06,31.86,62005400
20020201,32.08,32.25,31.22,31.33,62293600
20020204,31.20,31.34,30.38,30.56,68610800
20020205,30.40,31.12,30.25,30.58,65686200
20020206,30.80,30.94,30.12,30.20,64837000
20020207,30.15,30.80,29.79,29.90,61442600
20020208,30.06,30.38,29.42,30.32,59617000
20020211,30.00,30.62,29.80,30.56,49547600
20020212,30.24,30.42,29.90,30.07,43410600
20020213,30.13,30.94,29.98,30.91,52952600
20020214,31.00,31.50,30.66,30.80,55686400
20020215,30.85,31.03,30.09,30.12,47467400
20020219,29.96,30.07,29.30,29.42,49837200
20020220,29.70,30.18,29.40,29.95,49520800
20020221,29.86,30.14,29.00,29.02,56685800
20020222,29.02,29.38,28.58,29.00,69909400
20020225,28.96,29.94,28.94,29.54,50315800
20020226,29.55,30.00,28.95,29.28,62398400
20020227,29.54,30.08,29.00,29.20,64024400
20020228,29.39,29.85,29.07,29.17,65374600
20020301,29.52,30.75,29.42,30.68,59857000
20020304,30.60,31.75,30.44,31.60,72452200
20020305,31.50,31.94,31.17,31.54,55279800
20020306,31.45,31.85,31.10,31.82,48881200
20020307,31.84,31.94,30.93,31.36,57125600
20020308,31.80,32.35,31.58,31.98,56616600
