Date,Open,High,Low,Close,Volume
20110314,14.02,14.21,13.99,14.02,787109
20110315,13.97,14.14,13.90,14.00,431699
20110316,14.00,14.20,14.00,14.00,190764
20110317,14.07,14.10,13.92,13.92,264027
20110318,13.98,13.98,13.75,13.80,64870
20110321,13.90,14.00,13.75,13.83,166720
20110322,13.80,13.80,13.54,13.70,20756
20110323,13.62,13.74,13.58,13.62,17841
20110324,13.62,13.67,13.50,13.65,183125
20110325,13.65,13.76,13.50,13.50,57007
20110328,13.55,14.18,13.55,13.94,26623
20110329,13.80,13.85,13.54,13.76,24381
20110330,13.69,13.81,13.55,13.70,101720
20110331,13.70,13.85,13.68,13.75,86833
20110401,13.75,14.09,13.72,13.81,98995
20110404,13.95,14.14,13.85,13.93,97483
20110405,13.95,14.00,13.79,13.95,108899
20110406,13.95,13.95,13.85,13.90,37725
20110407,13.85,14.10,13.85,13.91,154635
20110408,13.86,15.24,13.85,14.77,1676141
20110411,15.06,15.56,14.21,14.62,556102
20110412,14.71,15.04,14.41,14.89,227635
20110413,15.10,15.29,14.55,14.61,183016
20110414,14.51,14.58,14.27,14.36,68896
20110415,14.34,14.70,13.90,13.95,135913
20110418,13.90,13.91,13.68,13.90,90767
20110419,13.95,14.07,13.81,13.97,87243
20110420,14.18,14.44,13.92,14.20,162899
20110421,14.24,14.30,14.00,14.11,73768
20110425,13.97,14.25,13.85,14.05,92660
20110426,14.05,14.05,13.88,14.02,87927
20110427,14.02,14.03,13.93,13.96,101499
20110428,14.10,14.31,13.75,13.95,203997
20110429,14.14,14.16,13.95,13.95,29501
20110502,14.04,14.14,13.72,13.87,26795
20110503,13.88,14.02,13.72,13.92,86497
20110504,14.02,14.02,13.69,13.73,39194
20110505,13.65,14.23,13.62,14.15,125985
20110506,14.27,14.60,13.99,14.60,149276
20110509,14.63,14.74,14.34,14.68,76467
20110510,14.77,15.25,14.75,15.03,319490
20110511,15.02,15.02,14.44,14.81,54645
20110512,14.84,14.84,14.45,14.73,60345
20110513,14.78,14.82,13.82,14.70,129126
20110516,14.69,14.81,14.15,14.48,56360
20110517,14.39,14.48,14.21,14.29,16929
20110518,14.47,14.77,14.37,14.65,25084
20110519,14.68,14.70,14.21,14.54,56595
