Date,Open,High,Low,Close,Volume
20010828,14.67,15.00,14.41,14.52,29299602
20010829,14.56,14.65,13.93,14.05,35389500
20010830,13.79,14.11,13.47,14.01,35552598
20010831,13.92,14.25,13.73,14.13,21938802
20010904,14.09,14.09,13.04,13.17,45967002
20010905,13.13,13.52,12.60,13.42,59520198
20010906,13.16,13.57,12.81,12.87,47805102
20010907,12.67,13.21,12.61,13.01,49009302
20010910,12.90,13.10,12.37,12.63,46466598
20010917,11.85,12.14,11.28,11.34,28171200
20010918,11.56,11.64,10.40,10.65,21979299
20010919,10.71,10.84,9.02,10.52,38418000
20010920,9.96,10.22,9.34,9.63,36185601
20010921,8.89,9.43,8.67,8.99,29752299
20010924,9.71,10.15,9.28,10.00,36827901
20010925,10.04,10.47,9.58,9.61,23313600
20010926,9.74,9.77,9.17,9.27,10585899
20010927,9.23,9.34,8.51,8.75,22489101
20010928,9.00,9.61,8.62,9.16,25454301
20011001,9.15,9.30,8.24,8.38,24147201
20011002,8.37,8.70,7.56,7.96,27767301
20011003,7.92,10.04,7.92,9.53,44167599
20011004,10.04,11.27,9.69,10.77,48755601
20011005,10.61,11.24,10.20,10.97,26789799
20011008,10.54,11.64,10.54,11.22,18957999
20011009,11.25,11.47,10.41,10.73,22706400
20011010,10.54,11.51,10.47,11.42,23639901
20011011,12.03,12.69,11.97,12.66,22957101
20011012,12.34,13.51,12.30,13.48,30764301
20011015,13.09,13.84,12.72,13.42,22523499
20011016,13.41,14.93,13.13,14.77,33962799
20011017,15.10,15.11,13.84,13.91,41946600
20011018,13.88,14.63,13.87,14.49,25157700
20011019,14.29,15.01,14.11,14.79,25826700
20011022,14.69,15.34,14.36,15.14,23964300
20011023,15.34,15.61,14.54,14.88,23634801
20011024,14.61,15.57,14.44,15.53,29965200
20011025,15.17,16.72,14.94,16.44,27549600
20011026,16.33,16.82,15.17,15.27,26988300
20011029,15.32,15.59,13.97,14.03,24609000
20011030,13.77,14.65,13.46,14.01,28654599
20011031,14.53,14.92,14.09,14.29,24353799
20011101,14.48,15.63,14.26,15.51,27088800
20011102,15.44,15.92,14.87,15.73,26734599
20011105,16.00,16.44,15.54,15.79,22904001
20011106,15.76,16.95,15.67,16.87,34843500
20011107,16.74,17.53,16.64,16.89,34988901
20011108,17.10,17.32,16.09,16.59,42809901
20011109,17.31,17.76,17.01,17.74,55796700
20011112,17.51,18.67,17.14,18.22,36047400
20011113,18.28,18.28,17.81,18.07,35838699
20011114,18.20,18.38,17.08,17.57,28605099
20011115,17.37,17.90,17.15,17.66,21603300
20011116,17.68,17.86,17.27,17.51,12200601
20011119,17.68,17.84,16.17,17.12,48254001
20011120,17.21,17.51,16.45,16.64,23270799
20011121,16.36,16.87,15.94,16.43,18060300
20011123,16.49,16.68,16.21,16.66,6168501
20011126,16.94,17.87,16.89,17.85,29831199
20011127,17.84,18.44,17.51,18.04,29341800
20011128,17.81,18.11,17.09,17.13,18328599
20011129,18.37,18.47,17.68,17.88,88499601
20011130,17.87,18.35,17.61,18.22,25384701
20011203,17.84,18.06,17.63,17.95,20759499
20011204,18.04,19.41,18.04,19.39,33780801
20011205,19.54,20.99,19.53,20.95,41291499
20011206,20.79,20.85,20.10,20.62,28105200
20011207,20.47,20.66,19.64,19.99,18846501
20011210,19.89,20.65,19.73,20.19,16884900
20011211,20.55,21.39,20.34,20.92,19363101
20011212,21.08,21.58,20.67,21.57,24944199
20011213,21.14,21.41,20.87,20.95,21693000
20011214,20.98,21.99,20.85,21.89,18496899
20011217,21.72,22.99,21.72,22.68,26828799
20011218,22.18,22.49,21.91,22.09,21588900
20011219,21.73,22.17,21.41,21.49,20866299
20011220,21.58,21.97,20.57,20.64,23315100
20011221,21.09,21.68,20.85,21.54,16722000
20011224,21.53,22.18,21.52,22.07,6521100
20011226,22.18,22.99,22.18,22.61,15930399
20011227,22.81,23.24,22.78,23.14,18080100
20011228,23.28,23.43,22.36,22.58,18766401
20011231,22.75,22.88,22.26,22.31,17304600
20020102,22.41,22.83,21.84,22.44,32024001
20020103,22.49,24.01,22.48,23.92,34836000
20020104,24.23,24.23,22.81,23.22,23238399
20020107,23.31,23.34,22.28,22.59,23970300
20020108,22.55,23.40,22.47,22.86,19092399
20020109,23.18,23.60,22.23,22.55,28181400
20020110,22.43,22.73,21.81,22.01,24589800
20020111,22.15,22.16,20.95,21.03,33690000
20020114,20.99,21.13,19.90,19.93,33918999
20020115,20.76,21.84,20.74,21.79,45376299
20020116,21.49,21.63,20.86,20.94,27600600
20020117,21.63,21.68,20.85,21.67,27535800
20020118,20.86,21.43,20.84,21.28,19888200
