Date,Open,High,Low,Close,Volume
20151120,13.92,14.05,12.50,12.85,16483334
20151123,13.00,13.15,12.10,12.12,5139131
20151124,12.00,12.23,11.52,12.02,4698681
20151125,12.12,12.40,11.85,11.90,3583421
20151127,12.05,12.31,11.90,12.05,942319
20151130,12.28,12.35,11.90,12.04,1995830
20151201,12.12,12.18,11.89,11.91,1252590
20151202,11.97,12.16,11.90,11.93,1708051
20151203,12.04,12.25,11.91,11.92,1431370
20151204,11.95,12.04,11.80,12.04,1331595
20151207,12.14,12.60,12.10,12.36,2660354
20151208,12.36,12.44,12.03,12.12,1047684
20151209,12.00,12.24,11.90,11.99,1075773
20151210,12.00,12.13,11.91,12.05,711304
20151211,12.00,12.02,11.90,11.95,882507
20151214,12.20,12.40,11.87,12.33,2161483
20151215,12.50,12.70,12.30,12.47,1257986
20151216,12.55,12.80,12.13,12.27,1592885
20151217,12.30,12.50,12.26,12.32,618856
20151218,12.40,12.58,12.10,12.34,1608918
20151221,12.37,12.48,12.02,12.24,704399
20151222,12.32,12.46,12.12,12.46,502437
20151223,12.41,12.66,12.31,12.50,512322
20151224,12.59,12.60,12.45,12.60,318490
20151228,12.60,12.84,12.49,12.83,1622706
20151229,12.83,12.83,12.50,12.74,852340
20151230,12.66,12.83,12.53,12.78,939321
20151231,12.70,13.50,12.65,13.09,2462306
20160104,12.75,12.90,12.05,12.16,2750749
20160105,12.20,12.34,11.50,11.51,2352830
20160106,11.50,11.64,11.02,11.52,1850671
20160107,11.13,11.37,11.00,11.16,1635990
20160108,11.25,11.54,11.20,11.31,587311
20160111,11.43,11.87,11.40,11.84,1676890
20160112,11.94,12.23,11.71,12.09,2136059
20160113,12.06,12.17,11.08,11.61,2094320
20160114,11.51,11.64,10.79,10.82,1602962
20160115,10.62,10.80,10.10,10.27,1201557
20160119,10.33,10.47,9.05,9.47,2741867
20160120,9.19,9.57,8.26,9.49,3751226
20160121,9.57,10.18,9.52,10.02,1381985
20160122,10.35,10.65,9.75,9.85,1127854
20160125,9.87,10.08,9.70,9.81,737455
20160126,9.78,9.90,9.54,9.54,756604
20160127,9.41,9.50,8.88,9.05,1347132
20160128,9.13,9.26,8.65,8.74,1201192
20160129,8.70,9.01,8.58,8.77,1982218
20160201,8.79,8.86,8.60,8.76,865269
