Date,Open,High,Low,Close,Volume
20170628,366.68,371.74,362.52,371.24,6302463
20170627,376.40,376.40,362.02,362.37,6996399
20170626,386.69,386.95,373.10,377.49,6604099
20170623,382.45,386.99,379.34,383.45,6445758
20170622,377.99,385.00,373.57,382.61,7529778
20170621,374.35,376.99,368.02,376.40,4923210
20170620,376.67,378.88,369.73,372.24,7438701
20170619,375.00,376.70,367.80,369.80,6549332
20170616,377.98,378.01,370.10,371.40,6730973
20170615,372.50,375.46,366.49,375.34,10426469
20170614,381.08,384.25,376.31,380.66,12818429
20170613,367.62,376.00,366.61,375.95,11807920
20170612,357.99,364.50,350.62,359.01,10517660
20170609,374.42,376.87,354.80,357.32,17261435
20170608,363.75,371.90,360.22,370.00,9061496
20170607,356.34,360.50,355.14,359.65,9397959
20170606,344.70,359.49,339.97,352.85,11086798
20170605,338.50,348.44,334.21,347.32,6784368
20170602,339.77,342.88,335.93,339.85,5590239
20170601,344.00,344.88,337.29,340.37,7607996
20170531,337.69,342.89,335.16,341.01,9963444
20170530,326.00,336.28,325.76,335.10,7782916
20170526,317.28,325.49,316.31,325.14,7802199
20170525,311.02,316.97,307.81,316.83,5013963
20170524,306.51,311.00,305.40,310.22,5041692
20170523,310.46,310.73,303.48,303.86,4318354
20170522,312.80,314.37,306.80,310.35,4329178
20170519,315.50,316.50,310.20,310.83,4687572
20170518,307.00,313.94,305.31,313.06,5653801
20170517,314.39,314.63,305.50,306.11,6711940
20170516,317.59,320.06,315.14,317.01,4152484
20170515,318.38,320.20,312.53,315.88,7622004
20170512,325.48,327.00,321.53,324.81,4121612
20170511,323.40,326.00,319.60,323.10,4753819
20170510,321.56,325.50,318.12,325.22,5741607
20170509,309.38,321.99,309.10,321.26,9676537
20170508,310.90,313.79,305.82,307.19,7006471
20170505,298.00,308.55,296.80,308.35,8177347
20170504,307.44,307.77,290.76,295.46,14152008
20170503,317.67,321.53,310.45,311.02,7133365
20170502,324.00,327.66,316.56,318.89,5382777
20170501,314.88,327.25,314.81,322.83,8829565
20170428,309.83,314.80,308.00,314.07,4505478
20170427,311.69,313.09,307.50,308.63,3468569
20170426,312.37,314.50,309.00,310.17,4695044
20170425,308.00,313.98,305.86,313.79,6737708
20170424,309.22,310.55,306.02,308.03,5083505
20170421,302.00,306.40,300.42,305.60,4509756
20170420,306.51,309.15,300.23,302.51,6149352
20170419,302.46,306.62,302.11,305.52,3898024
20170418,299.70,300.84,297.90,300.25,3035698
20170417,302.70,304.00,298.68,301.44,4138736
20170413,296.70,307.39,295.30,304.00,9284634
20170412,306.34,308.45,296.32,296.84,6050682
20170411,313.38,313.47,305.50,308.71,5724577
20170410,309.15,313.73,308.71,312.39,7664458
20170407,297.50,302.69,297.15,302.54,4579613
20170406,296.88,301.94,294.10,298.70,5520588
20170405,302.04,304.88,294.20,295.00,7880938
20170404,296.89,304.81,294.53,303.70,10134556
20170403,286.90,299.00,284.58,298.52,13888618
20170331,278.73,279.68,276.32,278.30,3294640
20170330,278.04,282.00,277.21,277.92,4148426
20170329,278.34,279.60,275.54,277.38,3676157
20170328,277.02,280.68,275.00,277.45,7987604
20170327,260.60,270.57,259.75,270.22,6230795
20170324,255.70,263.89,255.01,263.16,5647253
20170323,255.39,257.67,253.30,254.78,3320245
20170322,251.56,255.07,250.51,255.01,4059297
20170321,262.83,264.80,250.24,250.68,6908554
20170320,260.60,264.55,258.82,261.92,3614294
20170317,264.00,265.33,261.20,261.50,6497496
20170316,262.40,265.75,259.06,262.05,7132153
20170315,257.00,261.00,254.27,255.73,5330806
20170314,246.11,258.12,246.02,258.00,7598446
20170313,244.82,246.85,242.78,246.17,3022625
20170310,246.21,246.50,243.00,243.69,3066272
20170309,247.63,248.66,243.00,244.90,3879293
20170308,247.00,250.07,245.32,246.87,3728649
20170307,251.92,253.89,248.32,248.59,3459470
20170306,247.91,251.70,247.51,251.21,3355500
20170303,251.33,251.90,249.00,251.57,2929234
20170302,249.71,253.28,248.27,250.48,3351833
20170301,254.18,254.85,249.11,250.02,4809488
20170228,244.19,251.00,243.90,249.99,6078145
20170227,248.17,248.36,242.01,246.23,11460810
20170224,252.66,258.25,250.20,257.00,8171626
20170223,264.00,264.66,255.56,255.99,14915249
20170222,280.31,283.45,272.60,273.51,8754975
20170221,275.45,281.40,274.01,277.39,5676747
20170217,265.80,272.89,264.15,272.23,6257149
20170216,277.60,280.00,268.50,268.95,7077322
20170215,280.00,282.24,276.44,279.76,4947856
20170214,279.03,287.39,278.61,280.98,7345224
20170213,270.74,280.79,270.51,280.60,7029605
20170210,269.79,270.95,266.11,269.23,3619739
20170209,266.25,271.18,266.15,269.20,7820222
20170208,257.35,263.36,256.20,262.08,3933014
20170207,258.19,260.00,256.42,257.48,4244775
20170206,251.00,257.82,250.63,257.77,3562517
20170203,251.91,252.18,249.68,251.33,2186723
20170202,248.34,252.42,247.71,251.55,2499775
20170201,253.05,253.20,249.05,249.24,3958829
20170131,249.24,255.89,247.70,251.93,4116104
20170130,252.53,255.29,247.10,250.63,3801074
20170127,251.38,253.00,248.52,252.95,3166336
20170126,254.29,255.74,250.75,252.51,3152123
20170125,257.31,258.46,251.80,254.47,5146361
20170124,250.00,254.80,249.65,254.61,4965451
20170123,245.85,250.89,245.50,248.92,6262938
20170120,245.46,246.00,243.01,244.73,4204275
20170119,247.25,248.68,240.75,243.76,7732303
20170118,236.65,239.71,235.58,238.36,3768967
20170117,236.70,239.96,234.37,235.58,4617522
20170113,230.00,237.85,229.59,237.75,6092960
20170112,229.06,230.70,225.58,229.59,3790229
20170111,229.07,229.98,226.68,229.73,3650825
20170110,232.00,232.00,226.89,229.87,3659955
20170109,228.97,231.92,228.00,231.28,3979484
20170106,226.93,230.31,225.45,229.01,5527893
20170105,226.42,227.48,221.95,226.75,5911695
20170104,214.75,228.00,214.31,226.99,11213471
20170103,214.86,220.33,210.96,216.99,5923254
20161230,216.30,217.50,211.68,213.69,4642620
20161229,218.56,219.20,214.12,214.68,4044968
20161228,221.53,223.80,217.20,219.74,3782456
20161227,214.88,222.25,214.42,219.53,5915732
20161223,208.00,213.45,207.71,213.34,4670464
20161222,208.22,209.99,206.50,208.45,3111108
20161221,208.45,212.23,207.41,207.70,5207622
20161220,203.05,209.00,202.50,208.79,4689071
20161219,202.49,204.45,199.84,202.73,3488071
20161216,198.08,202.59,197.60,202.49,3796889
20161215,198.41,200.74,197.39,197.58,3219567
20161214,198.74,203.00,196.76,198.69,4150927
20161213,193.18,201.28,193.00,198.15,6823884
20161212,192.80,194.42,191.04,192.43,2438876
20161209,190.87,193.84,190.81,192.18,2722505
20161208,192.05,192.50,189.54,192.29,3194148
20161207,186.15,193.40,185.00,193.15,5461851
20161206,185.52,186.58,182.68,185.85,3391622
20161205,182.51,188.89,182.51,186.80,4072239
