Date,Open,High,Low,Close,Volume
20111017,17.72,18.95,17.50,18.60,354521
20111018,18.80,19.00,18.21,19.00,136186
20111019,19.00,19.42,17.48,17.65,144914
20111020,17.60,18.30,17.58,17.88,260207
20111021,18.03,19.80,17.81,19.56,644308
20111024,19.57,21.50,19.57,20.23,193910
20111025,19.97,20.43,19.06,19.39,125118
20111026,19.77,20.20,18.71,19.04,59694
20111027,19.74,20.00,18.75,19.12,60482
20111028,19.44,20.39,19.01,20.39,69501
20111031,20.31,21.25,19.48,20.99,123374
20111101,20.27,20.94,19.76,20.46,270905
20111102,20.89,21.20,19.80,20.74,56130
20111103,21.05,21.15,20.12,20.17,79618
20111104,19.86,20.26,19.08,19.27,97275
20111107,19.01,19.75,18.85,18.86,48249
20111108,19.18,19.33,18.50,18.71,55285
20111109,18.50,19.00,18.50,18.72,78051
20111110,18.96,19.35,18.51,18.60,40244
20111111,21.40,21.50,19.33,19.46,215406
20111114,19.12,20.63,19.12,19.71,59651
20111115,19.51,19.95,19.41,19.85,60288
20111116,19.54,20.26,19.40,20.05,30902
20111117,19.86,22.26,19.86,22.01,332845
20111118,22.25,23.04,22.24,22.36,223054
20111121,22.13,22.30,20.20,20.47,520391
20111122,20.48,20.62,19.61,20.54,67841
20111123,20.71,20.98,19.32,19.67,251545
20111125,19.69,20.50,19.36,19.36,54391
20111128,19.88,20.32,19.30,19.37,99766
20111129,19.43,19.65,18.75,18.88,99348
20111130,19.69,19.83,19.06,19.76,124666
20111201,19.68,20.27,19.50,19.99,110542
20111202,20.27,20.40,19.55,20.25,98760
20111205,20.65,20.65,19.75,19.93,75304
20111206,19.94,20.25,19.45,19.50,100106
20111207,19.11,19.99,19.11,19.84,196023
20111208,19.68,20.43,19.60,20.11,68933
20111209,20.12,20.57,20.02,20.14,29830
20111212,20.00,20.29,19.46,19.86,35858
20111213,19.92,21.14,19.70,20.82,282703
20111214,20.63,21.06,20.00,21.03,108904
20111215,21.14,21.45,20.51,20.55,194357
20111216,20.90,21.08,20.56,20.90,1195187
20111219,20.94,20.95,20.40,20.54,401845
20111220,20.92,20.93,19.84,19.88,248333
20111221,19.71,20.00,19.30,19.36,175982
20111222,19.39,19.67,19.00,19.21,101442
20111223,19.26,20.03,19.02,19.26,81242
20111227,19.27,19.50,18.80,18.84,54600
20111228,18.78,18.82,18.28,18.43,81674
20111229,18.49,18.83,18.26,18.56,38119
20111230,18.49,18.50,17.93,18.23,136802
20120103,18.95,18.95,18.23,18.49,132553
20120104,18.76,18.77,17.61,18.25,184077
20120105,18.30,18.39,17.33,17.44,610610
20120106,17.98,18.54,17.95,18.30,612438
20120109,18.76,19.33,18.30,19.32,222903
20120110,19.58,20.04,19.36,19.92,171798
20120111,19.92,21.45,19.90,21.17,695136
20120112,21.35,22.25,20.73,21.81,212423
20120113,21.69,22.74,21.10,22.39,288008
20120117,22.49,22.81,21.25,21.64,152355
20120118,21.71,22.20,20.91,21.14,363140
20120119,21.22,21.92,19.52,20.03,763253
20120120,19.74,20.10,19.38,20.04,357409
20120123,20.15,20.78,19.83,19.99,86421
20120124,20.00,20.79,19.75,19.96,94961
20120125,20.13,20.48,20.02,20.14,138366
20120126,20.20,21.75,20.20,21.00,277338
20120127,21.06,22.73,21.06,22.56,261854
20120130,22.43,24.42,22.43,24.42,489075
20120131,25.30,25.30,24.00,24.28,374826
20120201,23.99,24.55,22.60,24.10,896713
20120202,24.50,25.73,24.41,25.52,403479
20120203,27.19,27.23,24.78,25.00,478885
20120206,25.11,25.45,23.75,23.76,314625
20120207,23.83,24.29,23.06,23.25,229770
20120208,23.20,23.85,23.18,23.46,134423
20120209,23.54,25.00,22.38,24.83,274091
20120210,24.75,25.23,24.08,24.91,111647
20120213,25.09,25.50,24.61,24.67,179698
20120214,24.68,24.83,23.83,24.30,111123
20120215,24.31,24.86,23.20,23.28,186246
20120216,23.27,24.76,23.10,24.12,179543
20120217,24.31,25.01,24.01,25.01,163579
20120221,25.00,25.50,24.66,25.00,281479
20120222,24.97,25.39,24.62,25.35,97246
20120223,25.28,27.45,25.22,26.78,740125
20120224,26.65,27.70,26.43,27.34,341811
20120227,27.70,28.68,27.20,28.61,420532
20120228,28.97,28.97,27.40,27.80,322616
20120229,28.01,28.22,26.06,26.28,251498
20120301,26.20,26.66,24.32,25.02,428440
20120302,24.83,26.72,24.43,25.99,607387
20120305,25.91,25.91,25.00,25.18,191073
20120306,25.10,25.10,23.33,23.57,459107
20120307,23.84,25.66,23.60,24.63,345315
20120308,25.18,25.69,24.91,25.11,154598
20120309,25.58,25.90,25.15,25.50,135650
20120312,26.65,26.65,25.75,26.19,133633
20120313,26.88,26.88,25.55,26.57,230700
20120314,26.57,27.21,25.90,27.00,266566
20120315,27.15,27.33,26.50,27.17,118485
20120316,27.20,27.26,26.80,26.92,98656
20120319,26.90,27.18,26.80,27.10,108824
20120320,27.00,28.14,26.90,27.04,158353
20120321,28.06,28.83,27.53,28.73,458453
20120322,29.00,29.33,28.29,28.72,356802
20120323,29.19,31.32,28.80,30.38,708160
20120326,30.84,33.97,30.50,32.75,880497
20120327,33.47,33.74,32.00,32.10,727898
20120328,32.57,32.67,30.30,30.95,829312
20120329,30.51,31.74,29.66,31.15,583602
20120330,31.50,32.22,31.50,31.63,577023
20120402,31.90,32.50,31.65,32.33,353419
20120403,32.61,33.10,32.34,32.95,297832
20120404,32.90,32.90,30.90,31.01,420431
20120405,31.00,31.56,30.90,30.96,325928
20120409,30.70,30.93,30.25,30.50,299753
20120410,30.26,32.11,30.26,31.24,447670
20120411,31.20,32.42,30.45,32.42,553457
20120412,32.45,34.80,32.17,33.88,585439
20120413,33.79,35.32,33.70,34.35,423501
20120416,34.55,34.77,32.70,32.97,289536
20120417,33.15,33.76,33.00,33.19,179243
20120418,33.00,33.17,31.64,32.30,329046
20120419,32.16,33.94,32.15,33.29,350497
20120420,33.50,33.50,31.75,32.14,290582
20120423,31.83,32.44,30.70,31.87,407622
20120424,32.13,32.58,31.90,32.19,195707
20120425,32.25,32.50,31.63,31.93,156055
20120426,31.95,32.83,31.62,32.74,412577
20120427,32.85,34.49,32.73,33.75,625965
20120430,33.74,33.98,32.50,33.02,718142
20120501,33.22,35.99,33.10,35.00,1255395
20120502,32.88,33.18,28.26,28.90,4060699
20120503,28.75,29.18,28.50,28.78,847754
20120504,28.51,28.87,26.32,26.99,999215
20120507,26.67,26.67,24.54,24.91,1618116
20120508,24.57,25.95,23.28,24.92,943780
20120509,25.11,27.90,24.55,26.04,742533
20120510,26.00,26.04,23.35,24.74,1118781
20120511,24.59,24.92,21.60,22.56,1047282
20120514,22.56,22.70,22.00,22.39,639504
20120515,22.30,23.24,22.12,22.31,722014
20120516,22.14,23.00,19.91,20.90,992656
20120517,20.91,21.50,20.07,20.53,399001
20120518,20.20,20.79,18.70,19.00,777080
20120521,18.95,20.90,18.75,20.52,613959
20120522,20.50,20.89,19.53,19.80,437269
20120523,19.59,20.15,18.79,19.90,723247
20120524,19.97,20.77,19.66,20.45,574001
20120525,20.42,20.87,20.00,20.26,412638
20120529,20.04,20.14,19.33,19.53,199680
20120530,18.85,19.50,16.99,17.04,715810
20120531,17.95,19.29,17.62,18.65,1014087
20120601,18.34,18.34,17.63,17.66,577685
20120604,17.69,17.99,16.51,16.68,405612
20120605,16.50,16.99,14.83,15.77,1709707
20120606,15.87,16.31,15.60,15.90,769112
20120607,16.03,16.40,13.32,13.63,1553714
20120608,13.61,14.10,13.34,13.48,1242899
20120611,13.58,13.65,11.68,11.83,1623971
20120612,11.98,13.17,11.19,12.94,1943497
20120613,12.55,13.06,12.11,12.92,1753849
20120614,12.71,13.64,12.54,13.51,1677360
20120615,13.38,13.40,12.68,13.10,1169437
20120618,12.94,13.51,12.78,12.99,819648
20120619,13.06,14.57,13.02,13.55,1383380
20120620,13.52,13.85,13.30,13.66,591380
20120621,13.69,13.96,13.21,13.37,856522
20120622,13.49,13.86,13.36,13.67,987280
20120625,13.40,14.23,13.10,13.81,608113
20120626,13.76,14.20,13.33,13.57,595466
20120627,13.54,14.07,13.30,13.89,467362
20120628,13.80,14.63,13.53,14.06,844443
20120629,14.36,14.68,14.02,14.25,659694
20120702,14.28,14.56,13.30,13.60,1301727
20120703,13.59,14.98,13.59,14.91,393886
20120705,14.88,14.98,13.88,14.10,623550
20120706,13.92,14.08,13.34,13.57,365522
20120709,13.55,14.24,13.45,14.14,278968
20120710,14.21,14.28,13.79,14.06,273780
20120711,14.06,14.09,13.28,13.43,255035
20120712,13.33,13.57,12.68,13.08,264867
20120713,13.65,14.07,13.26,13.64,586807
20120716,13.64,13.71,12.83,12.98,333053
20120717,13.03,13.40,12.32,12.41,484459
20120718,12.28,13.15,12.28,13.06,317195
20120719,13.08,13.25,12.33,12.43,412054
20120720,12.32,12.90,12.05,12.50,339495
20120723,12.27,12.74,12.03,12.25,295754
20120724,12.24,12.45,12.14,12.45,165336
20120725,12.48,12.93,12.47,12.77,308787
20120726,12.99,13.15,9.37,10.88,2565483
20120727,10.95,12.92,10.88,12.82,962436
20120730,12.81,13.32,12.73,13.11,559881
20120731,13.06,14.43,13.06,14.14,683237
20120801,14.29,14.41,13.65,13.87,301047
20120802,13.76,13.83,11.99,12.21,419328
