Date,Open,High,Low,Close,Volume
20040226,20.00,20.01,20.00,20.01,47000
20040227,20.00,20.01,20.00,20.00,34500
20040301,20.00,20.01,20.00,20.01,50200
20040302,20.01,20.01,20.00,20.00,53500
20040303,20.00,20.01,20.00,20.01,61400
20040304,20.01,20.24,20.01,20.20,25700
20040305,20.30,20.45,20.05,20.10,20500
20040308,20.20,20.30,20.10,20.30,9400
20040309,20.35,20.50,20.30,20.40,23400
20040310,20.40,20.40,20.15,20.30,15200
20040311,20.20,20.35,20.20,20.30,6500
20040312,20.30,20.35,20.25,20.25,15600
20040315,20.35,20.45,20.35,20.42,7300
20040316,20.42,20.43,20.25,20.35,17300
20040317,20.43,20.45,20.40,20.43,23600
20040318,20.45,20.45,20.10,20.29,30800
20040319,20.29,20.30,20.16,20.20,13700
20040322,20.15,20.23,20.15,20.23,20900
20040323,20.23,20.23,20.10,20.15,23600
20040324,20.10,20.15,20.05,20.10,35400
20040325,20.02,20.10,20.00,20.01,118500
20040326,20.00,20.07,20.00,20.05,17900
20040329,20.04,20.04,20.00,20.02,36000
20040330,20.02,20.08,20.02,20.03,34400
20040331,20.03,20.05,20.02,20.04,11900
20040401,20.08,20.08,20.03,20.05,13000
20040402,20.05,20.07,20.04,20.06,14500
20040405,20.04,20.06,20.00,20.01,132700
20040406,19.97,19.98,19.95,19.96,19000
20040407,19.96,19.96,19.95,19.95,15300
20040408,19.95,20.00,19.90,19.90,62100
20040412,19.90,19.90,19.80,19.80,24300
20040413,19.70,19.70,19.10,19.18,61400
20040414,19.00,19.00,18.00,18.45,101600
20040415,18.50,18.65,18.40,18.55,25300
20040416,18.50,18.85,18.50,18.85,19200
20040419,18.85,18.90,18.65,18.80,17300
20040420,18.85,19.00,18.65,18.70,25000
20040421,18.70,18.70,18.15,18.25,61500
20040422,18.22,18.22,17.75,17.95,80600
20040423,17.80,18.00,17.80,17.91,61800
20040426,17.95,18.00,17.55,17.55,120800
20040427,17.50,17.95,17.50,17.80,97500
20040428,17.80,17.80,17.50,17.62,43800
20040429,17.70,17.85,17.65,17.75,40100
20040430,17.80,17.95,17.65,17.65,32100
20040503,17.60,18.04,17.55,18.00,37200
20040504,17.97,18.19,17.96,18.17,33300
20040505,18.10,18.19,17.85,18.10,56800
20040506,18.16,18.27,17.90,18.20,26700
20040507,18.00,18.00,17.55,17.55,23400
