Date,Open,High,Low,Close,Volume
20130906,0.80,0.80,0.80,0.80,5000
20140501,0.85,0.85,0.85,0.85,200
20140515,0.55,0.55,0.55,0.55,200
20140528,0.70,0.70,0.65,0.70,53700
20140529,0.65,0.65,0.65,0.65,6000
20140612,0.74,0.74,0.74,0.74,1000
20140616,0.74,0.74,0.74,0.74,200
20140623,0.80,0.97,0.70,0.92,150043
20140624,1.02,1.03,0.95,1.03,124763
20140625,1.05,1.10,0.82,1.08,318187
20140626,1.12,1.17,1.07,1.17,156435
20140627,1.22,1.30,1.20,1.28,338473
20140630,1.34,1.40,1.28,1.37,336121
20140701,1.38,1.46,1.25,1.39,397468
20140702,1.41,1.50,0.91,0.94,1042085
20140703,0.88,1.08,0.86,1.05,330513
20140707,1.10,1.15,1.04,1.14,245660
20140708,1.18,1.20,1.10,1.19,333573
20140709,1.13,1.13,1.01,1.02,439159
20140710,1.02,1.17,1.02,1.15,232092
20140711,1.19,1.31,1.16,1.25,331746
20140714,1.29,1.34,1.26,1.34,274156
20140715,1.36,1.40,1.11,1.16,431750
20140716,1.17,1.22,1.11,1.13,225258
20140717,1.15,1.21,1.14,1.21,203373
20140718,1.22,1.29,1.17,1.25,187326
20140721,1.26,1.31,1.26,1.31,176796
20140722,1.30,1.35,1.23,1.35,229842
20140723,1.30,1.37,1.26,1.34,219264
20140724,1.37,1.37,1.26,1.33,181240
20140725,1.35,1.43,1.34,1.37,285266
20140728,1.39,1.46,1.36,1.44,360875
20140729,1.48,1.55,1.46,1.55,451786
20140730,1.58,1.66,1.55,1.61,646747
20140731,1.66,1.73,1.62,1.71,683041
20140801,1.74,1.74,1.38,1.43,1034403
20140804,1.42,1.48,1.30,1.33,695620
20140805,1.32,1.45,1.31,1.44,325996
20140806,1.48,1.52,1.44,1.49,586712
20140807,1.53,1.53,1.17,1.27,880240
20140808,1.24,1.34,1.23,1.30,508589
20140811,1.31,1.35,1.29,1.32,214908
20140812,1.34,1.37,1.25,1.31,351382
20140813,1.33,1.39,1.32,1.35,234833
20140814,1.36,1.45,1.34,1.45,336113
20140815,1.43,1.44,1.31,1.32,208334
20140818,1.34,1.36,1.27,1.28,163131
20140819,1.26,1.32,1.26,1.29,234880
20140820,1.30,1.30,1.05,1.09,646328
20140821,1.12,1.25,1.11,1.16,431236
20140822,1.18,1.26,1.14,1.25,363439
20140825,1.26,1.27,1.18,1.23,268224
20140826,1.24,1.24,1.10,1.16,322108
20140827,1.20,1.24,1.18,1.21,457176
20140828,1.22,1.25,1.18,1.19,255394
20140829,1.18,1.19,1.13,1.16,219263
20140902,1.20,1.24,1.18,1.24,338700
20140903,1.26,1.35,1.24,1.34,1136380
20140904,1.42,1.50,1.39,1.50,1612724
20140905,1.52,1.60,1.41,1.53,1650610
20140908,1.54,1.56,1.45,1.55,1164434
20140909,1.55,1.92,1.55,1.67,1472989
20140910,1.67,1.76,1.57,1.70,1732989
20140911,1.74,1.74,1.71,1.73,614765
20140912,1.71,1.72,1.50,1.67,1202941
20140915,1.66,1.84,1.66,1.78,1089061
20140916,1.80,1.95,1.64,1.71,1200370
20140917,1.72,1.77,1.65,1.71,799174
20140918,1.74,1.75,1.64,1.73,509753
20140919,1.76,1.76,1.67,1.72,387281
20140922,1.74,1.80,1.68,1.80,663566
20140923,1.84,1.88,1.79,1.88,707731
20140924,1.94,2.01,1.91,2.00,1762166
20140925,2.06,2.10,1.83,2.05,1736427
20140926,2.08,2.15,2.00,2.13,1531826
20140929,2.16,2.22,2.02,2.11,2037340
20140930,2.10,2.22,2.10,2.16,1370163
20141001,2.20,2.21,1.86,1.91,2647781
20141002,1.92,2.14,1.91,2.13,1739220
20141003,2.20,2.24,2.03,2.16,1173271
20141006,2.20,2.20,1.98,2.09,1146254
20141007,2.08,2.13,1.75,1.76,2292483
20141008,1.74,1.84,1.47,1.62,1960383
20141009,1.64,1.77,1.57,1.75,762038
20141010,1.76,1.81,1.55,1.56,699144
20141013,1.54,1.55,1.15,1.18,1457441
20141014,1.16,1.42,1.10,1.39,603341
20141015,1.40,1.48,1.19,1.34,795100
20141016,1.32,1.42,1.24,1.32,713164
20141017,1.32,1.40,1.28,1.40,621562
