Date,Open,High,Low,Close,Volume
20080818,12.25,12.48,12.00,12.48,200920
20080819,12.28,12.42,12.00,12.31,68277
20080820,12.43,12.50,11.61,12.00,180102
20080821,11.99,11.99,11.42,11.85,110906
20080822,12.00,12.15,11.90,12.06,155128
20080825,12.24,12.25,11.80,11.95,53337
20080826,12.34,12.34,11.98,12.01,54116
20080827,12.19,12.59,12.07,12.24,70985
20080828,12.49,13.55,12.11,12.45,363535
20080829,12.81,12.84,12.31,12.56,67959
20080902,12.93,12.93,12.08,12.11,89926
20080903,12.11,12.55,11.72,11.86,231738
20080904,12.36,12.48,11.79,12.29,208596
20080905,12.19,12.30,11.70,12.07,186043
20080908,12.30,13.15,12.07,12.24,266528
20080909,12.48,12.48,11.32,11.33,160010
20080910,11.35,11.58,10.75,10.98,244683
20080911,11.13,12.43,10.75,12.05,371046
20080912,12.43,12.75,12.30,12.50,156998
20080915,12.22,13.00,11.85,12.20,135061
20080916,11.88,11.88,11.00,11.05,191786
20080917,11.28,11.29,9.88,9.90,236568
20080918,9.92,10.37,8.20,8.62,514073
20080919,9.89,9.90,8.92,9.79,200654
20080922,9.95,10.56,9.74,10.43,137060
20080923,10.22,10.77,10.22,10.66,111163
20080924,10.85,11.02,10.60,10.64,120660
20080925,10.98,11.10,10.75,11.10,188553
20080926,10.84,11.08,10.10,10.35,154613
20080929,10.35,10.73,6.50,10.35,301019
20080930,9.99,9.99,8.92,9.14,167359
20081001,8.91,9.28,8.78,8.90,53919
20081002,8.42,8.63,7.55,8.05,187695
20081003,8.05,8.05,7.50,7.75,116408
20081006,7.00,7.50,5.75,6.11,226305
20081007,6.31,6.68,5.25,5.43,108167
20081008,5.21,5.37,4.14,4.76,356094
20081009,5.14,5.34,4.80,4.95,81943
20081010,4.76,4.77,3.75,4.39,108784
20081013,5.00,5.20,4.52,5.05,117493
20081014,5.98,6.05,5.00,5.15,202738
20081015,5.45,6.48,5.30,5.72,434609
20081016,5.75,6.00,4.68,5.11,390357
20081017,5.19,5.19,4.00,4.54,655608
20081020,4.50,4.62,4.16,4.21,176516
20081021,4.47,4.50,4.25,4.37,70714
