Date,Open,High,Low,Close,Volume
20140321,1.25,1.25,1.25,1.25,2000
20140331,1.25,1.25,1.25,1.25,300
20140402,1.25,1.25,1.25,1.25,100
20140408,1.40,1.40,1.40,1.40,1000
20140409,1.40,1.40,1.40,1.40,3600
20140415,1.40,1.40,1.40,1.40,100
20140416,1.40,1.40,1.40,1.40,400
20140509,1.25,1.25,1.25,1.25,100
20140512,1.00,1.00,1.00,1.00,100
20140529,1.01,1.01,1.00,1.00,2000
20140530,0.80,0.85,0.80,0.80,52240
20140602,0.90,0.90,0.80,0.80,4000
20140603,1.24,1.50,0.90,0.90,6000
20140604,0.85,0.90,0.85,0.90,25000
20140605,0.90,0.90,0.85,0.85,10200
20140609,0.90,0.94,0.90,0.90,5000
20140610,0.90,0.92,0.90,0.90,11500
20140611,0.90,0.95,0.88,0.92,30500
20140612,0.95,0.95,0.95,0.95,1280
20140613,0.95,0.95,0.90,0.90,8099
20140616,0.95,0.95,0.95,0.95,1908
20140617,0.95,1.03,0.95,1.03,44067
20140618,1.05,1.22,1.05,1.12,96232
20140619,1.29,1.37,1.25,1.35,406431
20140620,1.47,1.55,1.36,1.45,861384
20140623,1.52,1.52,1.23,1.50,1101621
20140624,1.54,1.75,1.46,1.69,2276124
20140625,1.72,1.89,1.65,1.85,1275554
20140626,1.90,2.14,1.79,2.07,3020617
20140627,2.16,2.25,1.32,1.35,2695801
20140630,1.14,1.17,0.86,0.98,1969566
20140701,0.86,1.02,0.85,0.90,861609
20140702,0.83,0.90,0.43,0.55,2030124
20140703,0.55,0.73,0.49,0.72,623271
20140707,0.76,0.86,0.58,0.62,1104861
20140708,0.62,0.71,0.53,0.69,1025722
20140709,0.70,0.87,0.63,0.81,1270786
20140710,0.82,0.92,0.80,0.88,720679
20140711,0.90,1.03,0.89,0.94,1546896
20140714,0.93,0.94,0.77,0.84,1580376
20140715,0.82,1.04,0.82,1.04,1694542
20140716,1.09,1.22,0.94,1.02,2833533
20140717,1.04,1.05,0.88,0.92,1295240
20140718,0.93,0.96,0.89,0.96,580724
20140721,1.00,1.04,0.94,0.99,821755
20140722,0.95,0.96,0.91,0.94,893661
20140723,0.94,0.94,0.85,0.88,777360
20140724,0.86,0.88,0.77,0.82,1051773
20140725,0.82,0.82,0.70,0.74,1095423
20140728,0.72,0.73,0.66,0.70,822098
20140729,0.71,0.74,0.70,0.74,284521
20140730,0.74,0.77,0.73,0.76,328258
20140731,0.77,0.80,0.76,0.77,415980
20140801,0.76,0.76,0.70,0.74,443444
20140804,0.74,0.77,0.73,0.76,187136
20140805,0.76,0.76,0.72,0.74,196358
20140806,0.74,0.75,0.68,0.74,292390
20140807,0.73,0.74,0.71,0.72,112536
20140808,0.71,0.72,0.67,0.72,177343
20140811,0.70,0.73,0.68,0.71,167554
20140812,0.70,0.72,0.69,0.71,164018
20140813,0.71,0.71,0.68,0.68,151157
20140814,0.68,0.70,0.64,0.64,313328
20140815,0.61,0.63,0.55,0.57,376526
20140818,0.58,0.58,0.56,0.57,83341
20140819,0.59,0.64,0.57,0.62,199665
20140820,0.63,0.74,0.62,0.72,664215
20140821,0.73,0.75,0.68,0.72,283879
20140822,0.72,0.73,0.69,0.70,112297
20140825,0.70,0.72,0.66,0.67,239469
